lote,fecha_hora_madrid,url,expected_text,found_public,estado_publico
MW-COLLECTIONS-I18N-CARD-TITLES-SAFE-TEXT-UPDATE-013E16,2026-07-05 00:34,https://www.matchwalls.com/en/collections,Cuenca Wallpaper,TRUE,CORREGIDO Y VERIFICADO
MW-COLLECTIONS-I18N-CARD-TITLES-SAFE-TEXT-UPDATE-013E16,2026-07-05 00:34,https://www.matchwalls.com/fr/collections,Papier Peint Álava,TRUE,CORREGIDO Y VERIFICADO
MW-COLLECTIONS-I18N-CARD-TITLES-SAFE-TEXT-UPDATE-013E16,2026-07-05 00:34,https://www.matchwalls.com/fr/collections,Papier Peint Almería,TRUE,CORREGIDO Y VERIFICADO
MW-COLLECTIONS-I18N-CARD-TITLES-SAFE-TEXT-UPDATE-013E16,2026-07-05 00:34,https://www.matchwalls.com/fr/collections,Papier Peint Ávila,TRUE,CORREGIDO Y VERIFICADO
MW-COLLECTIONS-I18N-CARD-TITLES-SAFE-TEXT-UPDATE-013E16,2026-07-05 00:34,https://www.matchwalls.com/fr/collections,Papier Peint Jaén,TRUE,CORREGIDO Y VERIFICADO
MW-COLLECTIONS-I18N-CARD-TITLES-SAFE-TEXT-UPDATE-013E16,2026-07-05 00:34,https://www.matchwalls.com/de/collections,3D-Tapete,TRUE,CORREGIDO Y VERIFICADO
MW-COLLECTIONS-I18N-CARD-TITLES-SAFE-TEXT-UPDATE-013E16,2026-07-05 00:34,https://www.matchwalls.com/de/collections,Goldene Tapete,TRUE,CORREGIDO Y VERIFICADO
MW-COLLECTIONS-I18N-CARD-TITLES-SAFE-TEXT-UPDATE-013E16,2026-07-05 00:34,https://www.matchwalls.com/de/collections,Japanische Tapete,TRUE,CORREGIDO Y VERIFICADO
MW-COLLECTIONS-I18N-CARD-TITLES-SAFE-TEXT-UPDATE-013E16,2026-07-05 00:34,https://www.matchwalls.com/nl/collections,3D-behang,TRUE,CORREGIDO Y VERIFICADO
MW-COLLECTIONS-I18N-CARD-TITLES-SAFE-TEXT-UPDATE-013E16,2026-07-05 00:34,https://www.matchwalls.com/nl/collections,Geometrisch Behang,TRUE,CORREGIDO Y VERIFICADO
