lote,page,locale,url,status,canonical_present,noindex,h1,meta_description_length,contains_stale_012j3,status_final
MW-GEO-LANDINGS-SPAIN-FRANCE-NEXT-QUEUE-012K,Spain,es,https://www.matchwalls.com/pages/papel-pintado-espana,200,true,false,"Papel pintado en España para hogares y proyectos profesionales",320,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-NEXT-QUEUE-012K,Spain,en,https://www.matchwalls.com/en/pages/spain-wallpaper,200,true,false,"Wallpaper in Spain for homes and professional projects",320,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-NEXT-QUEUE-012K,Spain,fr,https://www.matchwalls.com/fr/pages/papier-peint-en-espagne,200,true,false,"Papier peint en Espagne pour intérieurs résidentiels et projets professionnels",320,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-NEXT-QUEUE-012K,Spain,de,https://www.matchwalls.com/de/pages/spanien-tapete,200,true,false,"Tapeten in Spanien für Wohnräume und gewerbliche Projekte",320,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-NEXT-QUEUE-012K,Spain,nl,https://www.matchwalls.com/nl/pages/spanje-behang,200,true,false,"Behang in Spanje voor woningen en professionele projecten",320,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-NEXT-QUEUE-012K,France,es,https://www.matchwalls.com/pages/papel-pintado-francia,200,true,false,"Papel pintado en Francia para interiores y proyectos profesionales",320,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-NEXT-QUEUE-012K,France,en,https://www.matchwalls.com/en/pages/french-wallpaper,200,true,false,"Wallpaper in France for interiors and professional projects",320,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-NEXT-QUEUE-012K,France,fr,https://www.matchwalls.com/fr/pages/papier-peint-en-france,200,true,false,"Papier peint en France pour intérieurs résidentiels et projets professionnels",320,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-NEXT-QUEUE-012K,France,de,https://www.matchwalls.com/de/pages/franzosische-tapete,200,true,false,"Tapeten in Frankreich für Innenräume und gewerbliche Projekte",320,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-NEXT-QUEUE-012K,France,nl,https://www.matchwalls.com/nl/pages/frans-behang,200,true,false,"Behang in Frankrijk voor interieurs en professionele projecten",319,false,VERIFICADO Y CORRECTO
