url,tipo,estado_admin,estado_publico,final_url,title,canonical,sitemap_apariciones,valor_como_target,clasificacion
https://www.matchwalls.com/collections/lienzos,"redirect fuente","existe: target /","301 -> 200","https://www.matchwalls.com/","MatchWalls - Papeles pintados que transforman tus espacios","https://www.matchwalls.com/",0,"No equivalente; fuente antigua redirige a home","REQUIERE DECISION HUMANA"
https://www.matchwalls.com/collections/cuadros-rollos,"redirect fuente","existe: target /","301 -> 200","https://www.matchwalls.com/","MatchWalls - Papeles pintados que transforman tus espacios","https://www.matchwalls.com/",0,"No equivalente; fuente antigua redirige a home","REQUIERE DECISION HUMANA"
https://www.matchwalls.com/collections/nuevos-cuadros-matchwalls,"redirect fuente","existe: target /","301 -> 200","https://www.matchwalls.com/","MatchWalls - Papeles pintados que transforman tus espacios","https://www.matchwalls.com/",0,"No equivalente; fuente antigua redirige a home","REQUIERE DECISION HUMANA"
https://www.matchwalls.com/collections/nuevos-lienzos-matchwalls,"redirect fuente","existe: target /","301 -> 200","https://www.matchwalls.com/","MatchWalls - Papeles pintados que transforman tus espacios","https://www.matchwalls.com/",0,"No equivalente; fuente antigua redirige a home","REQUIERE DECISION HUMANA"
https://www.matchwalls.com/pages/lienzos,"pagina candidata","Shopify Page gid://shopify/Page/106204954851; isPublished=false","404","https://www.matchwalls.com/pages/lienzos","404 No encontrado","https://www.matchwalls.com/404",0,"No usable como target porque no esta publicada","NO ACCESIBLE"
https://www.matchwalls.com/pages/crea-tu-lienzo,"pagina candidata","Shopify Page gid://shopify/Page/106205085923; isPublished=false","404","https://www.matchwalls.com/pages/crea-tu-lienzo","404 No encontrado","https://www.matchwalls.com/404",0,"No usable como target porque no esta publicada","NO ACCESIBLE"
https://www.matchwalls.com/pages/envio-gratuito-internacional-lienzos,"pagina informativa","Shopify Page gid://shopify/Page/108605243619; isPublished=true","200","https://www.matchwalls.com/pages/envio-gratuito-internacional-lienzos","Envio gratuito Internacional Lienzos","https://www.matchwalls.com/pages/envio-gratuito-internacional-lienzos",1,"No equivalente a una coleccion comercial de lienzos/cuadros","VERIFICADO PERO MEJORABLE"
https://www.matchwalls.com/en/pages/free-international-shipping-canvases,"pagina informativa EN","publica segun sitemap","200","https://www.matchwalls.com/en/pages/free-international-shipping-canvases","Free International shipping canvases","https://www.matchwalls.com/en/pages/free-international-shipping-canvases",1,"No equivalente a una coleccion comercial ES","VERIFICADO PERO MEJORABLE"
https://www.matchwalls.com/collections/lienzos-abstractos,"coleccion candidata historica","no encontrada en consulta Admin exacta","404","https://www.matchwalls.com/collections/lienzos-abstractos","404 No encontrado","https://www.matchwalls.com/404",0,"No usable como target","NO ACCESIBLE"
https://www.matchwalls.com/collections/lienzos-artista,"redirect legacy relacionado","fuera del alcance de escritura 011G5B","301 -> 404","https://www.matchwalls.com/collections/lienzos-artista","404 No encontrado","https://www.matchwalls.com/404",0,"Cadena muerta relacionada; derivar a lote separado si se decide","INCORRECTO"
https://www.matchwalls.com/pages/nuestros-productos,"pagina corporativa candidata","publica","200","https://www.matchwalls.com/pages/nuestros-productos","Conoce nuestros productos - MatchWalls","https://www.matchwalls.com/pages/nuestros-productos",0,"Demasiado generica; no equivalente a colecciones de lienzos/cuadros","VERIFICADO PERO MEJORABLE"
