url,language,section,handle,flags,url_lastmod,sitemap_url,estado_clasificacion,grupo_clasificacion,prioridad,recomendacion
https://www.matchwalls.com/agents.md,es,agents,,,,https://www.matchwalls.com/sitemap_agentic_discovery.xml,DECLARADO PERO NO VERIFICADO,sin_flag_automatica_prioritaria,Baja,URL presente en sitemap actual sin bandera automatica de este lote; requiere auditoria por tipo antes de declararla correcta.
https://www.matchwalls.com/,es,home,,,,https://www.matchwalls.com/sitemap_products_1.xml?from=8296203518179&to=14867444826488,DECLARADO PERO NO VERIFICADO,sin_flag_automatica_prioritaria,Baja,URL presente en sitemap actual sin bandera automatica de este lote; requiere auditoria por tipo antes de declararla correcta.
https://www.matchwalls.com/products/tropical-tapestry-1005c1,es,product,tropical-tapestry-1005c1,,2026-06-27T01:13:32+02:00,https://www.matchwalls.com/sitemap_products_1.xml?from=8296203518179&to=14867444826488,DECLARADO PERO NO VERIFICADO,sin_flag_automatica_prioritaria,Baja,URL presente en sitemap actual sin bandera automatica de este lote; requiere auditoria por tipo antes de declararla correcta.
https://www.matchwalls.com/products/tropical-tapestry-1005c2,es,product,tropical-tapestry-1005c2,,2026-06-27T01:13:32+02:00,https://www.matchwalls.com/sitemap_products_1.xml?from=8296203518179&to=14867444826488,DECLARADO PERO NO VERIFICADO,sin_flag_automatica_prioritaria,Baja,URL presente en sitemap actual sin bandera automatica de este lote; requiere auditoria por tipo antes de declararla correcta.
https://www.matchwalls.com/products/tropical-tapestry-1005c3,es,product,tropical-tapestry-1005c3,,2026-06-27T01:13:32+02:00,https://www.matchwalls.com/sitemap_products_1.xml?from=8296203518179&to=14867444826488,DECLARADO PERO NO VERIFICADO,sin_flag_automatica_prioritaria,Baja,URL presente en sitemap actual sin bandera automatica de este lote; requiere auditoria por tipo antes de declararla correcta.
https://www.matchwalls.com/products/tropical-tapestry-1005c4,es,product,tropical-tapestry-1005c4,,2026-06-27T01:13:32+02:00,https://www.matchwalls.com/sitemap_products_1.xml?from=8296203518179&to=14867444826488,DECLARADO PERO NO VERIFICADO,sin_flag_automatica_prioritaria,Baja,URL presente en sitemap actual sin bandera automatica de este lote; requiere auditoria por tipo antes de declararla correcta.
https://www.matchwalls.com/products/monochrome-foliage-1006c3,es,product,monochrome-foliage-1006c3,,2026-06-27T01:13:32+02:00,https://www.matchwalls.com/sitemap_products_1.xml?from=8296203518179&to=14867444826488,DECLARADO PERO NO VERIFICADO,sin_flag_automatica_prioritaria,Baja,URL presente en sitemap actual sin bandera automatica de este lote; requiere auditoria por tipo antes de declararla correcta.
https://www.matchwalls.com/products/brizna-blanco-y-negro,es,product,brizna-blanco-y-negro,,2026-06-27T01:13:32+02:00,https://www.matchwalls.com/sitemap_products_1.xml?from=8296203518179&to=14867444826488,DECLARADO PERO NO VERIFICADO,sin_flag_automatica_prioritaria,Baja,URL presente en sitemap actual sin bandera automatica de este lote; requiere auditoria por tipo antes de declararla correcta.
https://www.matchwalls.com/products/brizna-beige,es,product,brizna-beige,,2026-06-27T01:13:32+02:00,https://www.matchwalls.com/sitemap_products_1.xml?from=8296203518179&to=14867444826488,DECLARADO PERO NO VERIFICADO,sin_flag_automatica_prioritaria,Baja,URL presente en sitemap actual sin bandera automatica de este lote; requiere auditoria por tipo antes de declararla correcta.
https://www.matchwalls.com/products/brizna-gris,es,product,brizna-gris,,2026-06-27T01:13:32+02:00,https://www.matchwalls.com/sitemap_products_1.xml?from=8296203518179&to=14867444826488,DECLARADO PERO NO VERIFICADO,sin_flag_automatica_prioritaria,Baja,URL presente en sitemap actual sin bandera automatica de este lote; requiere auditoria por tipo antes de declararla correcta.
