ts_utc,round,profile,status,final_url,canonical,html_lang,meta_description,og_description,twitter_description,contains_stale,sha256,cf_cache_status,x_cache,age,error
2026-07-04T01:46:43.293479+00:00,1,chrome_es,200,https://www.matchwalls.com/pages/papel-pintado-espana,https://www.matchwalls.com/pages/papel-pintado-espana,es,"Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl",False,c27dc72d4da80a6959e8c59fa551fe6becc7c0e92f73a41d65dc8fd434849304,DYNAMIC,,,
2026-07-04T01:46:45.141187+00:00,1,chrome_en,200,https://www.matchwalls.com/en/pages/spain-wallpaper,https://www.matchwalls.com/en/pages/spain-wallpaper,en,"Wallpaper, murals and made-to-measure solutions in Spain At MatchWalls, we design wallpaper, decorative wall murals and made-to-measure wall solutions for homes, hotels, restaurants, offices, retail spaces and professional interiors in Spain. You can explore contemporary, botanical, artistic, geometric, floral or child","Wallpaper, murals and made-to-measure solutions in Spain At MatchWalls, we design wallpaper, decorative wall murals and made-to-measure wall solutions for homes, hotels, restaurants, offices, retail spaces and professional interiors in Spain. You can explore contemporary, botanical, artistic, geometric, floral or child","Wallpaper, murals and made-to-measure solutions in Spain At MatchWalls, we design wallpaper, decorative wall murals and made-to-measure wall solutions for homes, hotels, restaurants, offices, retail spaces and professional interiors in Spain. You can explore contemporary, botanical, artistic, geometric, floral or child",False,4d495df6c5c9cb8c79b2233d6b5b0aa3337f1a586532837097da615a76d23e28,DYNAMIC,,,
2026-07-04T01:46:45.806261+00:00,1,googlebot_sim,200,https://www.matchwalls.com/pages/papel-pintado-espana,https://www.matchwalls.com/pages/papel-pintado-espana,es,"Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl",False,c27dc72d4da80a6959e8c59fa551fe6becc7c0e92f73a41d65dc8fd434849304,DYNAMIC,,,
2026-07-04T01:46:46.456319+00:00,1,bingbot_sim,200,https://www.matchwalls.com/pages/papel-pintado-espana,https://www.matchwalls.com/pages/papel-pintado-espana,es,"Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl",False,8c427ef7dd3d7dba507eb256ce23ab11481a9c2aa1498bdd2c1a00557429fdf8,DYNAMIC,,,
2026-07-04T01:46:47.134087+00:00,1,oai_searchbot_sim,200,https://www.matchwalls.com/pages/papel-pintado-espana,https://www.matchwalls.com/pages/papel-pintado-espana,es,"Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl",False,c27dc72d4da80a6959e8c59fa551fe6becc7c0e92f73a41d65dc8fd434849304,DYNAMIC,,,
2026-07-04T01:46:47.686793+00:00,1,perplexitybot_sim,200,https://www.matchwalls.com/pages/papel-pintado-espana,https://www.matchwalls.com/pages/papel-pintado-espana,es,"Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl",False,ef06b21292b2b4e39a5e85e48123ee9d050a7476fc311416b3ced36b80ac3845,DYNAMIC,,,
2026-07-04T01:46:49.297307+00:00,2,chrome_es,200,https://www.matchwalls.com/pages/papel-pintado-espana,https://www.matchwalls.com/pages/papel-pintado-espana,es,"Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl",False,ef06b21292b2b4e39a5e85e48123ee9d050a7476fc311416b3ced36b80ac3845,DYNAMIC,,,
2026-07-04T01:46:50.966569+00:00,2,chrome_en,200,https://www.matchwalls.com/en/pages/spain-wallpaper,https://www.matchwalls.com/en/pages/spain-wallpaper,en,"Wallpaper, murals and made-to-measure solutions in Spain At MatchWalls, we design wallpaper, decorative wall murals and made-to-measure wall solutions for homes, hotels, restaurants, offices, retail spaces and professional interiors in Spain. You can explore contemporary, botanical, artistic, geometric, floral or child","Wallpaper, murals and made-to-measure solutions in Spain At MatchWalls, we design wallpaper, decorative wall murals and made-to-measure wall solutions for homes, hotels, restaurants, offices, retail spaces and professional interiors in Spain. You can explore contemporary, botanical, artistic, geometric, floral or child","Wallpaper, murals and made-to-measure solutions in Spain At MatchWalls, we design wallpaper, decorative wall murals and made-to-measure wall solutions for homes, hotels, restaurants, offices, retail spaces and professional interiors in Spain. You can explore contemporary, botanical, artistic, geometric, floral or child",False,5378fdc1a0265787b61899ad9b2655199382d202a45c0b86209c7013d39bd805,DYNAMIC,,,
2026-07-04T01:47:26.173114+00:00,2,googlebot_sim,ERROR,,,,,,,ERROR,,,,,URLError(TimeoutError('_ssl.c:989: The handshake operation timed out'))
2026-07-04T01:47:26.724032+00:00,2,bingbot_sim,200,https://www.matchwalls.com/pages/papel-pintado-espana,https://www.matchwalls.com/pages/papel-pintado-espana,es,"Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl",False,8c427ef7dd3d7dba507eb256ce23ab11481a9c2aa1498bdd2c1a00557429fdf8,DYNAMIC,,,
