check_group,url,language,section,handle,source_flags,geo_reason,url_lastmod,sitemap_url,http_status,final_url,redirect_location,robots_meta,has_noindex,canonical,canonical_self,h1,title,estado,diagnostic_note,error
black_friday,https://www.matchwalls.com/en/collections/wallpapers-black-friday,en,collection,wallpapers-black-friday,black_friday,,2026-04-20T17:23:00+02:00,https://www.matchwalls.com/en/sitemap_collections_1.xml?from=436915699939&to=665363448184,200,https://www.matchwalls.com/en/collections/wallpapers-black-friday,,,no,https://www.matchwalls.com/en/collections/wallpapers-black-friday,yes,Black Friday 2024,Wallpaper Black Friday 2025 - Wallpaper Sale,REQUIERE DECISION HUMANA,"Coleccion promocional antigua: decidir retirar, noindex o mantener con evidencia comercial.",
black_friday,https://www.matchwalls.com/collections/papel-pintado-black-friday,es,collection,papel-pintado-black-friday,black_friday|geo_collection_candidate,,2026-04-20T17:23:00+02:00,https://www.matchwalls.com/sitemap_collections_1.xml?from=436915699939&to=665363448184,200,https://www.matchwalls.com/collections/papel-pintado-black-friday,,,no,https://www.matchwalls.com/collections/papel-pintado-black-friday,yes,BLACK FRIDAY 2024,Papel Pintado Black Friday - Oferta Papel Pintado,REQUIERE DECISION HUMANA,"Coleccion promocional antigua: decidir retirar, noindex o mantener con evidencia comercial.",
black_friday,https://www.matchwalls.com/fr/collections/papiers-peints-black-friday,fr,collection,papiers-peints-black-friday,black_friday,,2026-04-20T17:23:00+02:00,https://www.matchwalls.com/fr/sitemap_collections_1.xml?from=436915699939&to=665363448184,200,https://www.matchwalls.com/fr/collections/papiers-peints-black-friday,,,no,https://www.matchwalls.com/fr/collections/papiers-peints-black-friday,yes,Black Friday 2024,Papier Peint Black Friday - Offre Papier Peint,REQUIERE DECISION HUMANA,"Coleccion promocional antigua: decidir retirar, noindex o mantener con evidencia comercial.",
black_friday,https://www.matchwalls.com/it/collections/sfondi-del-black-friday,it,collection,sfondi-del-black-friday,black_friday,,2026-04-20T17:23:00+02:00,https://www.matchwalls.com/it/sitemap_collections_1.xml?from=436915699939&to=665363448184,200,https://www.matchwalls.com/it/collections/sfondi-del-black-friday,,,no,https://www.matchwalls.com/it/collections/sfondi-del-black-friday,yes,Black Friday 2024,Carta da Parati Black Friday - Offerta Carta da Parati,REQUIERE DECISION HUMANA,"Coleccion promocional antigua: decidir retirar, noindex o mantener con evidencia comercial.",
black_friday,https://www.matchwalls.com/nl/collections/black-friday-wallpaper,nl,collection,black-friday-wallpaper,black_friday,,2026-04-20T17:23:00+02:00,https://www.matchwalls.com/nl/sitemap_collections_1.xml?from=436915699939&to=665363448184,200,https://www.matchwalls.com/nl/collections/black-friday-wallpaper,,,no,https://www.matchwalls.com/nl/collections/black-friday-wallpaper,yes,Black Friday 2024,Behang Black Friday - Behang Aanbieding,REQUIERE DECISION HUMANA,"Coleccion promocional antigua: decidir retirar, noindex o mantener con evidencia comercial.",
enchanted_typo_enchathed,https://www.matchwalls.com/en/products/enchathed-forest-tapestry-blue,en,product,enchathed-forest-tapestry-blue,enchanted_typo_enchathed,,2026-06-27T01:13:44+02:00,https://www.matchwalls.com/en/sitemap_products_1.xml?from=8296203518179&to=14867444826488,200,https://www.matchwalls.com/en/products/enchathed-forest-tapestry-blue,,,no,https://www.matchwalls.com/en/products/enchathed-forest-tapestry-blue,yes,,Enchathed Forest Tapestry Blue Wallpaper,INCORRECTO,Handle o termino con typo detectado; no cambiar sin mapa 301 aprobado.,
enchanted_typo_enchathed,https://www.matchwalls.com/en/products/enchathed-forest-tapestry-brown,en,product,enchathed-forest-tapestry-brown,enchanted_typo_enchathed,,2026-06-27T01:13:44+02:00,https://www.matchwalls.com/en/sitemap_products_1.xml?from=8296203518179&to=14867444826488,200,https://www.matchwalls.com/en/products/enchathed-forest-tapestry-brown,,,no,https://www.matchwalls.com/en/products/enchathed-forest-tapestry-brown,yes,,Enchathed Forest Tapestry Brown Wallpaper,INCORRECTO,Handle o termino con typo detectado; no cambiar sin mapa 301 aprobado.,
enchanted_typo_enchathed,https://www.matchwalls.com/en/products/enchathed-forest-tapestry-gray,en,product,enchathed-forest-tapestry-gray,enchanted_typo_enchathed,,2026-06-27T01:13:44+02:00,https://www.matchwalls.com/en/sitemap_products_1.xml?from=8296203518179&to=14867444826488,200,https://www.matchwalls.com/en/products/enchathed-forest-tapestry-gray,,,no,https://www.matchwalls.com/en/products/enchathed-forest-tapestry-gray,yes,,Enchathed Forest Tapestry Gray Wallpaper,INCORRECTO,Handle o termino con typo detectado; no cambiar sin mapa 301 aprobado.,
enchanted_typo_enchathed,https://www.matchwalls.com/en/products/enchathed-forest-tapestry-green,en,product,enchathed-forest-tapestry-green,enchanted_typo_enchathed,,2026-06-27T01:13:44+02:00,https://www.matchwalls.com/en/sitemap_products_1.xml?from=8296203518179&to=14867444826488,200,https://www.matchwalls.com/en/products/enchathed-forest-tapestry-green,,,no,https://www.matchwalls.com/en/products/enchathed-forest-tapestry-green,yes,,Enchathed Forest Tapestry Green Wallpaper,INCORRECTO,Handle o termino con typo detectado; no cambiar sin mapa 301 aprobado.,
enchanted_typo_enchathed,https://www.matchwalls.com/en/products/enchathed-forest-tapestry-multicolor,en,product,enchathed-forest-tapestry-multicolor,enchanted_typo_enchathed,,2026-06-27T01:13:44+02:00,https://www.matchwalls.com/en/sitemap_products_1.xml?from=8296203518179&to=14867444826488,200,https://www.matchwalls.com/en/products/enchathed-forest-tapestry-multicolor,,,no,https://www.matchwalls.com/en/products/enchathed-forest-tapestry-multicolor,yes,,Enchathed Forest Tapestry Multicolor Wallpaper,INCORRECTO,Handle o termino con typo detectado; no cambiar sin mapa 301 aprobado.,
