product_gid,legacy_resource_id,representative_title,url,present_in_product_sitemap,estado
gid://shopify/Product/14835719963000,14835719963000,Muestra de Tartán Sutil Beige,https://www.matchwalls.com/products/muestra-de-tartan-sutil-beige,no,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835719963000,14835719963000,Muestra de Tartán Sutil Beige,https://www.matchwalls.com/en/products/sutil-beige-tartan-sample,no,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835719963000,14835719963000,Muestra de Tartán Sutil Beige,https://www.matchwalls.com/fr/products/echantillon-de-tartan-betil-beige,no,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835719963000,14835719963000,Muestra de Tartán Sutil Beige,https://www.matchwalls.com/de/products/sutil-beige-tartan-probe,no,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835719963000,14835719963000,Muestra de Tartán Sutil Beige,https://www.matchwalls.com/it/products/campione-di-tartan-beige-sulel,no,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835719963000,14835719963000,Muestra de Tartán Sutil Beige,https://www.matchwalls.com/pt/products/amostra-de-tartan-bege-sutil,no,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835719864696,14835719864696,Muestra de Tartán Sutil Lila,https://www.matchwalls.com/products/muestra-de-tartan-sutil-lila,no,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835719864696,14835719864696,Muestra de Tartán Sutil Lila,https://www.matchwalls.com/en/products/subtle-lilac-sample,no,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835719864696,14835719864696,Muestra de Tartán Sutil Lila,https://www.matchwalls.com/fr/products/echantillon-de-lilas-subtil,no,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835719864696,14835719864696,Muestra de Tartán Sutil Lila,https://www.matchwalls.com/de/products/subtile-lila-probe,no,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835719864696,14835719864696,Muestra de Tartán Sutil Lila,https://www.matchwalls.com/it/products/campione-lilla-sottile,no,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835719864696,14835719864696,Muestra de Tartán Sutil Lila,https://www.matchwalls.com/pt/products/amostra-sutil-lilac,no,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835720356216,14835720356216,Muestra de Tartán Sutil Marrón,https://www.matchwalls.com/products/muestra-de-tartan-sutil-marron,no,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835720356216,14835720356216,Muestra de Tartán Sutil Marrón,https://www.matchwalls.com/en/products/brown-suctan-sample,no,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835720356216,14835720356216,Muestra de Tartán Sutil Marrón,https://www.matchwalls.com/fr/products/echantillon-de-suctan-marron,no,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835720356216,14835720356216,Muestra de Tartán Sutil Marrón,https://www.matchwalls.com/de/products/brown-suctan-probe,no,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835720356216,14835720356216,Muestra de Tartán Sutil Marrón,https://www.matchwalls.com/nl/products/brown-suctan-sample-1,no,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835720356216,14835720356216,Muestra de Tartán Sutil Marrón,https://www.matchwalls.com/it/products/campione-di-suctan-marrone,no,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835720356216,14835720356216,Muestra de Tartán Sutil Marrón,https://www.matchwalls.com/pt/products/amostra-de-sucina-marrom,no,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835720094072,14835720094072,Muestra de Tartán Sutil Rosa,https://www.matchwalls.com/products/muestra-de-tartan-sutil-rosa,no,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835720094072,14835720094072,Muestra de Tartán Sutil Rosa,https://www.matchwalls.com/en/products/subtle-pink-tartan-sample,no,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835720094072,14835720094072,Muestra de Tartán Sutil Rosa,https://www.matchwalls.com/fr/products/echantillon-de-tartan-rose-subtil,no,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835720094072,14835720094072,Muestra de Tartán Sutil Rosa,https://www.matchwalls.com/de/products/subtile-rosa-tartan-probe,no,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835720094072,14835720094072,Muestra de Tartán Sutil Rosa,https://www.matchwalls.com/nl/products/subtiele-roze-tartan-sample,no,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835720094072,14835720094072,Muestra de Tartán Sutil Rosa,https://www.matchwalls.com/it/products/campione-di-tartan-rosa-sottile,no,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835720094072,14835720094072,Muestra de Tartán Sutil Rosa,https://www.matchwalls.com/pt/products/amostra-sutil-de-tartan-rosa,no,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835720225144,14835720225144,Muestra de Tartán Sutil Verde,https://www.matchwalls.com/products/muestra-de-tartan-sutil-verde,no,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835720225144,14835720225144,Muestra de Tartán Sutil Verde,https://www.matchwalls.com/en/products/subtle-green-tartan-sample,no,CORREGIDO Y VERIFICADO
