path,final_status,redirect_hops,final_url,canonical,h1,chain
/,200,0,https://www.matchwalls.com/,https://www.matchwalls.com/,Papeles pintados para paredes y murales,200 https://www.matchwalls.com/
/collections/muestras,404,0,https://www.matchwalls.com/collections/muestras,https://www.matchwalls.com/404,,404 https://www.matchwalls.com/collections/muestras
/pages/como-tomar-medidas-paredes-y-techos-boton,200,1,https://www.matchwalls.com/pages/medidas-paredes,https://www.matchwalls.com/pages/medidas-paredes,Cómo tomar medidas de paredes,301 https://www.matchwalls.com/pages/como-tomar-medidas-paredes-y-techos-boton -> /pages/medidas-paredes | 200 https://www.matchwalls.com/pages/medidas-paredes
/pages/facade-variants/test,200,1,https://www.matchwalls.com/,https://www.matchwalls.com/,Papeles pintados para paredes y murales,301 https://www.matchwalls.com/pages/facade-variants/test -> / | 200 https://www.matchwalls.com/
/pages/medidas-paredes,200,0,https://www.matchwalls.com/pages/medidas-paredes,https://www.matchwalls.com/pages/medidas-paredes,Cómo tomar medidas de paredes,200 https://www.matchwalls.com/pages/medidas-paredes
/pages/medidas-paredes-techos,200,1,https://www.matchwalls.com/pages/medidas-paredes,https://www.matchwalls.com/pages/medidas-paredes,Cómo tomar medidas de paredes,301 https://www.matchwalls.com/pages/medidas-paredes-techos -> /pages/medidas-paredes | 200 https://www.matchwalls.com/pages/medidas-paredes
/pages/sobre-nosotros,200,0,https://www.matchwalls.com/pages/sobre-nosotros,https://www.matchwalls.com/pages/sobre-nosotros,"Sobre Nosotros — MatchWalls, expertos en papel pintado mural",200 https://www.matchwalls.com/pages/sobre-nosotros
/pages/sobre-nosotros-1,200,1,https://www.matchwalls.com/pages/sobre-nosotros,https://www.matchwalls.com/pages/sobre-nosotros,"Sobre Nosotros — MatchWalls, expertos en papel pintado mural",301 https://www.matchwalls.com/pages/sobre-nosotros-1 -> /pages/sobre-nosotros | 200 https://www.matchwalls.com/pages/sobre-nosotros
/products/abismo-dorado-negro-copia,200,1,https://www.matchwalls.com/products/eternal-marble-elegance,https://www.matchwalls.com/products/eternal-marble-elegance,Eternal Marble Elegance,301 https://www.matchwalls.com/products/abismo-dorado-negro-copia -> /products/eternal-marble-elegance | 200 https://www.matchwalls.com/products/eternal-marble-elegance
/products/blue-dot-harmony-gris-copia,200,1,https://www.matchwalls.com/products/blue-dot-harmony-rosa-1,https://www.matchwalls.com/products/blue-dot-harmony-rosa-1,Blue Dot Harmony Lila,301 https://www.matchwalls.com/products/blue-dot-harmony-gris-copia -> /products/blue-dot-harmony-rosa-1 | 200 https://www.matchwalls.com/products/blue-dot-harmony-rosa-1
/products/blue-dot-harmony-rosa-1,200,0,https://www.matchwalls.com/products/blue-dot-harmony-rosa-1,https://www.matchwalls.com/products/blue-dot-harmony-rosa-1,Blue Dot Harmony Lila,200 https://www.matchwalls.com/products/blue-dot-harmony-rosa-1
/products/botanical-grid-marron-copy,200,1,https://www.matchwalls.com/products/floral-cascade-rosa,https://www.matchwalls.com/products/floral-cascade-rosa,Floral Cascade Rosa,301 https://www.matchwalls.com/products/botanical-grid-marron-copy -> /products/floral-cascade-rosa | 200 https://www.matchwalls.com/products/floral-cascade-rosa
/products/echoing-corridor,404,0,https://www.matchwalls.com/products/echoing-corridor,https://www.matchwalls.com/404,,404 https://www.matchwalls.com/products/echoing-corridor
/products/echoing-corridor-3,404,0,https://www.matchwalls.com/products/echoing-corridor-3,https://www.matchwalls.com/404,,404 https://www.matchwalls.com/products/echoing-corridor-3
/products/ember-glow-marron,404,0,https://www.matchwalls.com/products/ember-glow-marron,https://www.matchwalls.com/404,,404 https://www.matchwalls.com/products/ember-glow-marron
/products/endless-horizon-3,ERROR,1,https://www.matchwalls.com/products/echoing-corridor,,,301 https://www.matchwalls.com/products/endless-horizon-3 -> /products/echoing-corridor | ERROR https://www.matchwalls.com/products/echoing-corridor ERROR <urlopen error _ssl.c:989: The handshake operation timed out>
/products/eternal-marble-elegance,200,0,https://www.matchwalls.com/products/eternal-marble-elegance,https://www.matchwalls.com/products/eternal-marble-elegance,Eternal Marble Elegance,200 https://www.matchwalls.com/products/eternal-marble-elegance
/products/ethereal-flow-azul,200,0,https://www.matchwalls.com/products/ethereal-flow-azul,https://www.matchwalls.com/products/ethereal-flow-azul,Ethereal Flow Azul,200 https://www.matchwalls.com/products/ethereal-flow-azul
/products/ethereal-flow-blanco-negro,200,0,https://www.matchwalls.com/products/ethereal-flow-blanco-negro,https://www.matchwalls.com/products/ethereal-flow-blanco-negro,Ethereal Flow Blanco y Negro,200 https://www.matchwalls.com/products/ethereal-flow-blanco-negro
