id,path,target
gid://shopify/UrlRedirect/417542766819,/collections/papeles-pintados-color-blanco-y-negro,/collections/blanco-y-negro-murales
gid://shopify/UrlRedirect/417542799587,/collections/papeles-pintados-color-azul,/collections/murales-en-azul
gid://shopify/UrlRedirect/417542832355,/collections/papeles-pintados-color-amarillo,/collections/murales-en-amarillo
gid://shopify/UrlRedirect/417542865123,/collections/papeles-pintados-color-blanco,/collections/murales-en-blanco
gid://shopify/UrlRedirect/417542897891,/collections/papeles-pintados-color-beige,/collections/murales-en-beige
gid://shopify/UrlRedirect/417542930659,/collections/papeles-pintados-color-negro,/collections/murales-en-negro
gid://shopify/UrlRedirect/417542963427,/collections/papeles-pintados-color-gris,/collections/murales-en-gris
gid://shopify/UrlRedirect/417542996195,/collections/papeles-pintados-color-marron,/collections/murales-en-marron
gid://shopify/UrlRedirect/417543028963,/collections/papeles-pintados-color-rosa,/collections/murales-en-rosa
gid://shopify/UrlRedirect/417543061731,/collections/papeles-pintados-color-lila,/collections/murales-en-lila
gid://shopify/UrlRedirect/417543094499,/collections/papeles-pintados-color-verde,/collections/murales-en-verde
gid://shopify/UrlRedirect/417543127267,/collections/papeles-pintados-color-dorado,/collections/murales-en-dorado
gid://shopify/UrlRedirect/417543160035,/collections/papeles-pintados-color-plateado,/collections/murales-en-plateado
gid://shopify/UrlRedirect/417543192803,/collections/papeles-pintados-color-multicolor,/collections/murales-en-multicolor
