product_gid,legacy_resource_id,representative_title,url,http_status,final_url,robots_content,canonical,h1_present,ok_status,ok_robots_noindex_nofollow,ok_canonical_self,ok_h1,error,estado
gid://shopify/Product/14835714097528,14835714097528,Muestra de Stripe Harmony Multicolor,https://www.matchwalls.com/de/products/multicolor-harmonie-streifenprobe,200,https://www.matchwalls.com/de/products/multicolor-harmonie-streifenprobe,"noindex,nofollow",https://www.matchwalls.com/de/products/multicolor-harmonie-streifenprobe,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835714097528,14835714097528,Muestra de Stripe Harmony Multicolor,https://www.matchwalls.com/en/products/multicolor-harmony-stripe-sample,200,https://www.matchwalls.com/en/products/multicolor-harmony-stripe-sample,"noindex,nofollow",https://www.matchwalls.com/en/products/multicolor-harmony-stripe-sample,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835714097528,14835714097528,Muestra de Stripe Harmony Multicolor,https://www.matchwalls.com/fr/products/echantillon-de-bande-dharmonie-multicolore,200,https://www.matchwalls.com/fr/products/echantillon-de-bande-dharmonie-multicolore,"noindex,nofollow",https://www.matchwalls.com/fr/products/echantillon-de-bande-dharmonie-multicolore,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835714097528,14835714097528,Muestra de Stripe Harmony Multicolor,https://www.matchwalls.com/it/products/campione-a-strisce-armoniche-multicolore,200,https://www.matchwalls.com/it/products/campione-a-strisce-armoniche-multicolore,"noindex,nofollow",https://www.matchwalls.com/it/products/campione-a-strisce-armoniche-multicolore,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835714097528,14835714097528,Muestra de Stripe Harmony Multicolor,https://www.matchwalls.com/products/muestra-de-stripe-harmony-multicolor,200,https://www.matchwalls.com/products/muestra-de-stripe-harmony-multicolor,"noindex,nofollow",https://www.matchwalls.com/products/muestra-de-stripe-harmony-multicolor,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835714097528,14835714097528,Muestra de Stripe Harmony Multicolor,https://www.matchwalls.com/pt/products/amostra-de-listra-de-harmonia-multicolor,200,https://www.matchwalls.com/pt/products/amostra-de-listra-de-harmonia-multicolor,"noindex,nofollow",https://www.matchwalls.com/pt/products/amostra-de-listra-de-harmonia-multicolor,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835714195832,14835714195832,Muestra de Stripe Harmony Verde,https://www.matchwalls.com/de/products/harmony-green-stripe-probe,200,https://www.matchwalls.com/de/products/harmony-green-stripe-probe,"noindex,nofollow",https://www.matchwalls.com/de/products/harmony-green-stripe-probe,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835714195832,14835714195832,Muestra de Stripe Harmony Verde,https://www.matchwalls.com/en/products/harmony-green-stripe-sample,200,https://www.matchwalls.com/en/products/harmony-green-stripe-sample,"noindex,nofollow",https://www.matchwalls.com/en/products/harmony-green-stripe-sample,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835714195832,14835714195832,Muestra de Stripe Harmony Verde,https://www.matchwalls.com/fr/products/echantillon-de-bande-vert-harmonie,200,https://www.matchwalls.com/fr/products/echantillon-de-bande-vert-harmonie,"noindex,nofollow",https://www.matchwalls.com/fr/products/echantillon-de-bande-vert-harmonie,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835714195832,14835714195832,Muestra de Stripe Harmony Verde,https://www.matchwalls.com/it/products/armony-green-stripe-sample,200,https://www.matchwalls.com/it/products/armony-green-stripe-sample,"noindex,nofollow",https://www.matchwalls.com/it/products/armony-green-stripe-sample,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO
