product_gid,legacy_resource_id,representative_title,url,http_status,final_url,robots_content,canonical,h1_present,ok_status,ok_robots_noindex_nofollow,ok_canonical_self,ok_h1,error,estado,source_block
gid://shopify/Product/14835714818424,14835714818424,Muestra de Floral Symphony Multicolor,https://www.matchwalls.com/de/products/floral-symphony-multicolor-probe,200,https://www.matchwalls.com/de/products/floral-symphony-multicolor-probe,"noindex,nofollow",https://www.matchwalls.com/de/products/floral-symphony-multicolor-probe,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835714818424,14835714818424,Muestra de Floral Symphony Multicolor,https://www.matchwalls.com/en/products/floral-symphony-multicolor-sample,200,https://www.matchwalls.com/en/products/floral-symphony-multicolor-sample,"noindex,nofollow",https://www.matchwalls.com/en/products/floral-symphony-multicolor-sample,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835714818424,14835714818424,Muestra de Floral Symphony Multicolor,https://www.matchwalls.com/fr/products/echantillon-multicolore-a-symphonie-florale,200,https://www.matchwalls.com/fr/products/echantillon-multicolore-a-symphonie-florale,"noindex,nofollow",https://www.matchwalls.com/fr/products/echantillon-multicolore-a-symphonie-florale,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835714818424,14835714818424,Muestra de Floral Symphony Multicolor,https://www.matchwalls.com/it/products/campione-multicolore-sinfonico-floreale,200,https://www.matchwalls.com/it/products/campione-multicolore-sinfonico-floreale,"noindex,nofollow",https://www.matchwalls.com/it/products/campione-multicolore-sinfonico-floreale,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835714818424,14835714818424,Muestra de Floral Symphony Multicolor,https://www.matchwalls.com/nl/products/bloemen-symphony-multicolor-sample,200,https://www.matchwalls.com/nl/products/bloemen-symphony-multicolor-sample,"noindex,nofollow",https://www.matchwalls.com/nl/products/bloemen-symphony-multicolor-sample,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835714818424,14835714818424,Muestra de Floral Symphony Multicolor,https://www.matchwalls.com/products/muestra-de-floral-symphony-multicolor,200,https://www.matchwalls.com/products/muestra-de-floral-symphony-multicolor,"noindex,nofollow",https://www.matchwalls.com/products/muestra-de-floral-symphony-multicolor,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835714818424,14835714818424,Muestra de Floral Symphony Multicolor,https://www.matchwalls.com/pt/products/amostra-de-multicolor-sinfonia-floral,200,https://www.matchwalls.com/pt/products/amostra-de-multicolor-sinfonia-floral,"noindex,nofollow",https://www.matchwalls.com/pt/products/amostra-de-multicolor-sinfonia-floral,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835715572088,14835715572088,Muestra de Misty Blossom Gris,https://www.matchwalls.com/de/products/neblige-blossom-grey-probe,200,https://www.matchwalls.com/de/products/neblige-blossom-grey-probe,"noindex,nofollow",https://www.matchwalls.com/de/products/neblige-blossom-grey-probe,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835715572088,14835715572088,Muestra de Misty Blossom Gris,https://www.matchwalls.com/en/products/misty-blossom-gray-sample,200,https://www.matchwalls.com/en/products/misty-blossom-gray-sample,"noindex,nofollow",https://www.matchwalls.com/en/products/misty-blossom-gray-sample,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835715572088,14835715572088,Muestra de Misty Blossom Gris,https://www.matchwalls.com/fr/products/echantillon-gris-de-fleur-brumeux,200,https://www.matchwalls.com/fr/products/echantillon-gris-de-fleur-brumeux,"noindex,nofollow",https://www.matchwalls.com/fr/products/echantillon-gris-de-fleur-brumeux,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835715572088,14835715572088,Muestra de Misty Blossom Gris,https://www.matchwalls.com/it/products/campione-grigio-fiorente-nebbioso,200,https://www.matchwalls.com/it/products/campione-grigio-fiorente-nebbioso,"noindex,nofollow",https://www.matchwalls.com/it/products/campione-grigio-fiorente-nebbioso,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835715572088,14835715572088,Muestra de Misty Blossom Gris,https://www.matchwalls.com/products/muestra-de-misty-blossom-gris,200,https://www.matchwalls.com/products/muestra-de-misty-blossom-gris,"noindex,nofollow",https://www.matchwalls.com/products/muestra-de-misty-blossom-gris,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835715572088,14835715572088,Muestra de Misty Blossom Gris,https://www.matchwalls.com/pt/products/amostra-cinza-enevoada-em-flor-cinza,200,https://www.matchwalls.com/pt/products/amostra-cinza-enevoada-em-flor-cinza,"noindex,nofollow",https://www.matchwalls.com/pt/products/amostra-cinza-enevoada-em-flor-cinza,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835715735928,14835715735928,Muestra de Misty Blossom Azul,https://www.matchwalls.com/de/products/neblige-blute-blaue-probe,200,https://www.matchwalls.com/de/products/neblige-blute-blaue-probe,"noindex,nofollow",https://www.matchwalls.com/de/products/neblige-blute-blaue-probe,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835715735928,14835715735928,Muestra de Misty Blossom Azul,https://www.matchwalls.com/en/products/misty-blossom-blue-sample-1,200,https://www.matchwalls.com/en/products/misty-blossom-blue-sample-1,"noindex,nofollow",https://www.matchwalls.com/en/products/misty-blossom-blue-sample-1,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835715735928,14835715735928,Muestra de Misty Blossom Azul,https://www.matchwalls.com/fr/products/echantillon-bleu-de-fleur-brumeux,200,https://www.matchwalls.com/fr/products/echantillon-bleu-de-fleur-brumeux,"noindex,nofollow",https://www.matchwalls.com/fr/products/echantillon-bleu-de-fleur-brumeux,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835715735928,14835715735928,Muestra de Misty Blossom Azul,https://www.matchwalls.com/it/products/campione-blu-fiorente-nebbioso,200,https://www.matchwalls.com/it/products/campione-blu-fiorente-nebbioso,"noindex,nofollow",https://www.matchwalls.com/it/products/campione-blu-fiorente-nebbioso,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835715735928,14835715735928,Muestra de Misty Blossom Azul,https://www.matchwalls.com/nl/products/misty-blossom-blue-sample-3,200,https://www.matchwalls.com/nl/products/misty-blossom-blue-sample-3,"noindex,nofollow",https://www.matchwalls.com/nl/products/misty-blossom-blue-sample-3,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835715735928,14835715735928,Muestra de Misty Blossom Azul,https://www.matchwalls.com/products/muestra-de-misty-blossom-azul,200,https://www.matchwalls.com/products/muestra-de-misty-blossom-azul,"noindex,nofollow",https://www.matchwalls.com/products/muestra-de-misty-blossom-azul,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835715735928,14835715735928,Muestra de Misty Blossom Azul,https://www.matchwalls.com/pt/products/amostra-azul-de-flor-enevoada,200,https://www.matchwalls.com/pt/products/amostra-azul-de-flor-enevoada,"noindex,nofollow",https://www.matchwalls.com/pt/products/amostra-azul-de-flor-enevoada,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835715998072,14835715998072,Muestra de Cityscape Confetti Multicolor,https://www.matchwalls.com/de/products/multicolor-probe-von-stadtlandschaft-konfetti,200,https://www.matchwalls.com/de/products/multicolor-probe-von-stadtlandschaft-konfetti,"noindex,nofollow",https://www.matchwalls.com/de/products/multicolor-probe-von-stadtlandschaft-konfetti,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835715998072,14835715998072,Muestra de Cityscape Confetti Multicolor,https://www.matchwalls.com/en/products/cityscape-confetti-multicolor-sample,200,https://www.matchwalls.com/en/products/cityscape-confetti-multicolor-sample,"noindex,nofollow",https://www.matchwalls.com/en/products/cityscape-confetti-multicolor-sample,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835715998072,14835715998072,Muestra de Cityscape Confetti Multicolor,https://www.matchwalls.com/fr/products/echantillon-multicolore-confetti-de-paysage-urbain,200,https://www.matchwalls.com/fr/products/echantillon-multicolore-confetti-de-paysage-urbain,"noindex,nofollow",https://www.matchwalls.com/fr/products/echantillon-multicolore-confetti-de-paysage-urbain,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835715998072,14835715998072,Muestra de Cityscape Confetti Multicolor,https://www.matchwalls.com/it/products/campione-multicolore-coriandolo-urbano,200,https://www.matchwalls.com/it/products/campione-multicolore-coriandolo-urbano,"noindex,nofollow",https://www.matchwalls.com/it/products/campione-multicolore-coriandolo-urbano,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835715998072,14835715998072,Muestra de Cityscape Confetti Multicolor,https://www.matchwalls.com/nl/products/cityscape-confetti-multicolor-sample-1,200,https://www.matchwalls.com/nl/products/cityscape-confetti-multicolor-sample-1,"noindex,nofollow",https://www.matchwalls.com/nl/products/cityscape-confetti-multicolor-sample-1,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835715998072,14835715998072,Muestra de Cityscape Confetti Multicolor,https://www.matchwalls.com/products/muestra-de-cityscape-confetti-multicolor,200,https://www.matchwalls.com/products/muestra-de-cityscape-confetti-multicolor,"noindex,nofollow",https://www.matchwalls.com/products/muestra-de-cityscape-confetti-multicolor,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO,01
