"page","lang","url","status","noindex","heading_present","target_href_present","anchor_present","result"
"Spain","ES","https://www.matchwalls.com/pages/papel-pintado-espana?mwqa=012o","200","False","False","False","False","FAIL"
"Spain","EN","https://www.matchwalls.com/en/pages/spain-wallpaper?mwqa=012o","200","False","False","False","False","FAIL"
"Spain","FR","https://www.matchwalls.com/fr/pages/papier-peint-en-espagne?mwqa=012o","200","False","False","False","False","FAIL"
"Spain","DE","https://www.matchwalls.com/de/pages/spanien-tapete?mwqa=012o","200","False","False","False","False","FAIL"
"Spain","NL","https://www.matchwalls.com/nl/pages/spanje-behang?mwqa=012o","200","False","True","True","True","PASS"
"France","ES","https://www.matchwalls.com/pages/papel-pintado-francia?mwqa=012o","200","False","False","False","False","FAIL"
"France","EN","https://www.matchwalls.com/en/pages/french-wallpaper?mwqa=012o","200","False","False","False","False","FAIL"
"France","FR","https://www.matchwalls.com/fr/pages/papier-peint-en-france?mwqa=012o","200","False","False","False","False","FAIL"
"France","DE","https://www.matchwalls.com/de/pages/franzosische-tapete?mwqa=012o","200","False","False","False","False","FAIL"
"France","NL","https://www.matchwalls.com/nl/pages/frans-behang?mwqa=012o","200","False","False","False","False","FAIL"
