url,language,section,handle,flags,url_lastmod,sitemap_url
https://www.matchwalls.com/pt/products/multicolor-symphony-de-jardim-enchathed,pt,product,multicolor-symphony-de-jardim-enchathed,enchanted_typo_enchathed,2026-06-27T01:13:34+02:00,https://www.matchwalls.com/pt/sitemap_products_1.xml?from=8296203518179&to=14867444826488
https://www.matchwalls.com/en/products/enchathed-garden-symphony-multicolor,en,product,enchathed-garden-symphony-multicolor,enchanted_typo_enchathed,2026-06-27T01:13:44+02:00,https://www.matchwalls.com/en/sitemap_products_1.xml?from=8296203518179&to=14867444826488
https://www.matchwalls.com/en/products/enchathed-garden-symphony-green,en,product,enchathed-garden-symphony-green,enchanted_typo_enchathed,2026-06-27T01:13:44+02:00,https://www.matchwalls.com/en/sitemap_products_1.xml?from=8296203518179&to=14867444826488
https://www.matchwalls.com/en/products/enchathed-garden-symphony-blue,en,product,enchathed-garden-symphony-blue,enchanted_typo_enchathed,2026-06-27T01:13:44+02:00,https://www.matchwalls.com/en/sitemap_products_1.xml?from=8296203518179&to=14867444826488
https://www.matchwalls.com/en/products/enchathed-garden-symphony-black,en,product,enchathed-garden-symphony-black,enchanted_typo_enchathed,2026-06-27T01:13:44+02:00,https://www.matchwalls.com/en/sitemap_products_1.xml?from=8296203518179&to=14867444826488
https://www.matchwalls.com/en/products/enchathed-forest-tapestry-multicolor,en,product,enchathed-forest-tapestry-multicolor,enchanted_typo_enchathed,2026-06-27T01:13:44+02:00,https://www.matchwalls.com/en/sitemap_products_1.xml?from=8296203518179&to=14867444826488
https://www.matchwalls.com/en/products/enchathed-forest-tapestry-green,en,product,enchathed-forest-tapestry-green,enchanted_typo_enchathed,2026-06-27T01:13:44+02:00,https://www.matchwalls.com/en/sitemap_products_1.xml?from=8296203518179&to=14867444826488
https://www.matchwalls.com/en/products/enchathed-forest-tapestry-gray,en,product,enchathed-forest-tapestry-gray,enchanted_typo_enchathed,2026-06-27T01:13:44+02:00,https://www.matchwalls.com/en/sitemap_products_1.xml?from=8296203518179&to=14867444826488
https://www.matchwalls.com/en/products/enchathed-forest-tapestry-brown,en,product,enchathed-forest-tapestry-brown,enchanted_typo_enchathed,2026-06-27T01:13:44+02:00,https://www.matchwalls.com/en/sitemap_products_1.xml?from=8296203518179&to=14867444826488
https://www.matchwalls.com/en/products/enchathed-forest-tapestry-blue,en,product,enchathed-forest-tapestry-blue,enchanted_typo_enchathed,2026-06-27T01:13:44+02:00,https://www.matchwalls.com/en/sitemap_products_1.xml?from=8296203518179&to=14867444826488
https://www.matchwalls.com/nl/products/enchathed-garden-symphony-multicolor-1,nl,product,enchathed-garden-symphony-multicolor-1,enchanted_typo_enchathed|suffix_minus_1,2026-06-27T01:13:46+02:00,https://www.matchwalls.com/nl/sitemap_products_1.xml?from=8296203518179&to=14867444826488
https://www.matchwalls.com/nl/products/enchathed-garden-symphony-green-1,nl,product,enchathed-garden-symphony-green-1,enchanted_typo_enchathed|suffix_minus_1,2026-06-27T01:13:46+02:00,https://www.matchwalls.com/nl/sitemap_products_1.xml?from=8296203518179&to=14867444826488
https://www.matchwalls.com/nl/products/enchathed-garden-symphony-blue-1,nl,product,enchathed-garden-symphony-blue-1,enchanted_typo_enchathed|suffix_minus_1,2026-06-27T01:13:46+02:00,https://www.matchwalls.com/nl/sitemap_products_1.xml?from=8296203518179&to=14867444826488
https://www.matchwalls.com/nl/products/enchathed-garden-symphony-black-1,nl,product,enchathed-garden-symphony-black-1,enchanted_typo_enchathed|suffix_minus_1,2026-06-27T01:13:46+02:00,https://www.matchwalls.com/nl/sitemap_products_1.xml?from=8296203518179&to=14867444826488
https://www.matchwalls.com/nl/products/enchathed-forest-tapestry-multolor,nl,product,enchathed-forest-tapestry-multolor,enchanted_typo_enchathed,2026-06-27T01:13:46+02:00,https://www.matchwalls.com/nl/sitemap_products_1.xml?from=8296203518179&to=14867444826488
https://www.matchwalls.com/nl/products/enchathed-forest-tapestry-green-1,nl,product,enchathed-forest-tapestry-green-1,enchanted_typo_enchathed|suffix_minus_1,2026-06-27T01:13:46+02:00,https://www.matchwalls.com/nl/sitemap_products_1.xml?from=8296203518179&to=14867444826488
https://www.matchwalls.com/nl/products/enchathed-forest-tapestry-gray-1,nl,product,enchathed-forest-tapestry-gray-1,enchanted_typo_enchathed|suffix_minus_1,2026-06-27T01:13:46+02:00,https://www.matchwalls.com/nl/sitemap_products_1.xml?from=8296203518179&to=14867444826488
https://www.matchwalls.com/nl/products/enchathed-forest-tapestry-brown-2,nl,product,enchathed-forest-tapestry-brown-2,enchanted_typo_enchathed,2026-06-27T01:13:46+02:00,https://www.matchwalls.com/nl/sitemap_products_1.xml?from=8296203518179&to=14867444826488
https://www.matchwalls.com/nl/products/enchathed-forest-tapestry-blue-1,nl,product,enchathed-forest-tapestry-blue-1,enchanted_typo_enchathed|suffix_minus_1,2026-06-27T01:13:46+02:00,https://www.matchwalls.com/nl/sitemap_products_1.xml?from=8296203518179&to=14867444826488
