product_gid,legacy_resource_id,current_seo_hidden,proposed_seo_hidden,action_group,representative_title,representative_url,url_count,languages,product_types,product_type_anomaly,priority_anomaly,priority_anomaly_flags,es_mapping_status,es_inferred_main_url,rollback,all_urls,rolling_block
gid://shopify/Product/14835719963000,14835719963000,null,1,CANDIDATO_011B5,Muestra de Tartán Sutil Beige,https://www.matchwalls.com/products/muestra-de-tartan-sutil-beige,6,es|en|fr|de|it|pt,Amostra|Campione|Muestra|Probe|Sample|Échantillon,no,no,,CANDIDATO_POR_HANDLE_EXACTO,https://www.matchwalls.com/products/tartan-sutil-beige,delete seo.hidden to restore null,https://www.matchwalls.com/products/muestra-de-tartan-sutil-beige | https://www.matchwalls.com/en/products/sutil-beige-tartan-sample | https://www.matchwalls.com/fr/products/echantillon-de-tartan-betil-beige | https://www.matchwalls.com/de/products/sutil-beige-tartan-probe | https://www.matchwalls.com/it/products/campione-di-tartan-beige-sulel | https://www.matchwalls.com/pt/products/amostra-de-tartan-bege-sutil,011B5-03
gid://shopify/Product/14835719864696,14835719864696,null,1,CANDIDATO_011B5,Muestra de Tartán Sutil Lila,https://www.matchwalls.com/products/muestra-de-tartan-sutil-lila,6,es|en|fr|de|it|pt,Amostra|Campione|Muestra|Probe|Sample|Échantillon,no,no,,CANDIDATO_POR_HANDLE_EXACTO,https://www.matchwalls.com/products/tartan-sutil-lila,delete seo.hidden to restore null,https://www.matchwalls.com/products/muestra-de-tartan-sutil-lila | https://www.matchwalls.com/en/products/subtle-lilac-sample | https://www.matchwalls.com/fr/products/echantillon-de-lilas-subtil | https://www.matchwalls.com/de/products/subtile-lila-probe | https://www.matchwalls.com/it/products/campione-lilla-sottile | https://www.matchwalls.com/pt/products/amostra-sutil-lilac,011B5-03
gid://shopify/Product/14835720356216,14835720356216,null,1,CANDIDATO_011B5,Muestra de Tartán Sutil Marrón,https://www.matchwalls.com/products/muestra-de-tartan-sutil-marron,7,es|en|fr|de|nl|it|pt,Amostra|Campione|Muestra|Probe|Sample|Steekproef|Échantillon,no,yes,nl_non_nl_sample_term_detected,CANDIDATO_POR_HANDLE_EXACTO,https://www.matchwalls.com/products/tartan-sutil-marron,delete seo.hidden to restore null,https://www.matchwalls.com/products/muestra-de-tartan-sutil-marron | https://www.matchwalls.com/en/products/brown-suctan-sample | https://www.matchwalls.com/fr/products/echantillon-de-suctan-marron | https://www.matchwalls.com/de/products/brown-suctan-probe | https://www.matchwalls.com/nl/products/brown-suctan-sample-1 | https://www.matchwalls.com/it/products/campione-di-suctan-marrone | https://www.matchwalls.com/pt/products/amostra-de-sucina-marrom,011B5-03
gid://shopify/Product/14835720094072,14835720094072,null,1,CANDIDATO_011B5,Muestra de Tartán Sutil Rosa,https://www.matchwalls.com/products/muestra-de-tartan-sutil-rosa,7,es|en|fr|de|nl|it|pt,Amostra|Campione|Muestra|Probe|Sample|Steekproef|Échantillon,no,yes,nl_non_nl_sample_term_detected,CANDIDATO_POR_HANDLE_EXACTO,https://www.matchwalls.com/products/tartan-sutil-rosa,delete seo.hidden to restore null,https://www.matchwalls.com/products/muestra-de-tartan-sutil-rosa | https://www.matchwalls.com/en/products/subtle-pink-tartan-sample | https://www.matchwalls.com/fr/products/echantillon-de-tartan-rose-subtil | https://www.matchwalls.com/de/products/subtile-rosa-tartan-probe | https://www.matchwalls.com/nl/products/subtiele-roze-tartan-sample | https://www.matchwalls.com/it/products/campione-di-tartan-rosa-sottile | https://www.matchwalls.com/pt/products/amostra-sutil-de-tartan-rosa,011B5-03
gid://shopify/Product/14835720225144,14835720225144,null,1,CANDIDATO_011B5,Muestra de Tartán Sutil Verde,https://www.matchwalls.com/products/muestra-de-tartan-sutil-verde,6,es|en|fr|de|it|pt,Amostra|Campione|Muestra|Probe|Sample|Échantillon,no,no,,CANDIDATO_POR_HANDLE_EXACTO,https://www.matchwalls.com/products/tartan-sutil-verde,delete seo.hidden to restore null,https://www.matchwalls.com/products/muestra-de-tartan-sutil-verde | https://www.matchwalls.com/en/products/subtle-green-tartan-sample | https://www.matchwalls.com/fr/products/echantillon-de-tartan-vert-subtil | https://www.matchwalls.com/de/products/subtile-grune-tartanprobe | https://www.matchwalls.com/it/products/campione-di-tartan-verde-sottile | https://www.matchwalls.com/pt/products/amostra-sutil-de-tartan-verde,011B5-03
gid://shopify/Product/14835718652280,14835718652280,null,1,CANDIDATO_011B5,Muestra de Verdant Valle  Beige,https://www.matchwalls.com/products/muestra-de-verdant-valle-beige,6,es|en|fr|de|it|pt,Amostra|Campione|Muestra|Probe|Sample|Échantillon,no,no,,CANDIDATO_POR_HANDLE_EXACTO,https://www.matchwalls.com/products/verdant-valle-beige,delete seo.hidden to restore null,https://www.matchwalls.com/products/muestra-de-verdant-valle-beige | https://www.matchwalls.com/en/products/verdant-valle-beige-sample | https://www.matchwalls.com/fr/products/echantillon-beige-valle-verdoyant | https://www.matchwalls.com/de/products/verdantes-valle-beige-probe | https://www.matchwalls.com/it/products/verdant-valle-beige-sample-1 | https://www.matchwalls.com/pt/products/amostra-verdejante-de-bege-valle,011B5-03
gid://shopify/Product/14835718750584,14835718750584,null,1,CANDIDATO_011B5,Muestra de Verdant Valle Azul,https://www.matchwalls.com/products/muestra-de-verdant-valle-azul,6,es|en|fr|de|it|pt,Amostra|Campione|Muestra|Probe|Sample|Échantillon,no,no,,CANDIDATO_POR_HANDLE_EXACTO,https://www.matchwalls.com/products/verdant-valle-azul,delete seo.hidden to restore null,https://www.matchwalls.com/products/muestra-de-verdant-valle-azul | https://www.matchwalls.com/en/products/verdant-valle-azul-sample | https://www.matchwalls.com/fr/products/echantillon-de-valle-valle | https://www.matchwalls.com/de/products/gruner-valle-azul-probe | https://www.matchwalls.com/it/products/verdant-valle-azul-sample-1 | https://www.matchwalls.com/pt/products/amostra-verdejante-do-valle-azul,011B5-03
gid://shopify/Product/14835719045496,14835719045496,null,1,CANDIDATO_011B5,Muestra de Verdant Valle Gris,https://www.matchwalls.com/products/muestra-de-verdant-valle-gris,6,es|en|fr|de|it|pt,Amostra|Campione|Muestra|Probe|Sample|Échantillon,no,no,,CANDIDATO_POR_HANDLE_EXACTO,https://www.matchwalls.com/products/verdant-valle-gris,delete seo.hidden to restore null,https://www.matchwalls.com/products/muestra-de-verdant-valle-gris | https://www.matchwalls.com/en/products/verdant-valle-gray-sample | https://www.matchwalls.com/fr/products/echantillon-de-gris-valle-verdant | https://www.matchwalls.com/de/products/gruner-vallegrau-probe | https://www.matchwalls.com/it/products/verdant-valle-grey-sample | https://www.matchwalls.com/pt/products/amostra-verdejante-cinza,011B5-03
gid://shopify/Product/14835718848888,14835718848888,null,1,CANDIDATO_011B5,Muestra de Verdant Valle Rosa,https://www.matchwalls.com/products/muestra-de-verdant-valle-rosa,6,es|en|fr|de|it|pt,Amostra|Campione|Muestra|Probe|Sample|Échantillon,no,no,,CANDIDATO_POR_HANDLE_EXACTO,https://www.matchwalls.com/products/verdant-valle-rosa,delete seo.hidden to restore null,https://www.matchwalls.com/products/muestra-de-verdant-valle-rosa | https://www.matchwalls.com/en/products/verdant-valle-rosa-sample | https://www.matchwalls.com/fr/products/echantillon-de-valle-rosa-verdoyante | https://www.matchwalls.com/de/products/gruner-valle-rosa-probe | https://www.matchwalls.com/it/products/verdant-valle-rosa-sample-1 | https://www.matchwalls.com/pt/products/amostra-verdejante-de-valle-rosa,011B5-03
gid://shopify/Product/14835718914424,14835718914424,null,1,CANDIDATO_011B5,Muestra de Verdant Valle Verde,https://www.matchwalls.com/products/muestra-de-verdant-valle-verde,6,es|en|fr|de|it|pt,Amostra|Campione|Muestra|Probe|Sample|Échantillon,no,no,,CANDIDATO_POR_HANDLE_EXACTO,https://www.matchwalls.com/products/verdant-valle-verde,delete seo.hidden to restore null,https://www.matchwalls.com/products/muestra-de-verdant-valle-verde | https://www.matchwalls.com/en/products/verdant-valle-verde-sample | https://www.matchwalls.com/fr/products/echantillon-de-verdant-valle-verde | https://www.matchwalls.com/de/products/gruner-valle-verde-probe | https://www.matchwalls.com/it/products/verdant-valle-verde-sample-1 | https://www.matchwalls.com/pt/products/amostra-verdejante-do-valle-verde,011B5-03
