"id","path","current_target"
"gid://shopify/UrlRedirect/417580974307","/fr/collections/floral-painted-papers-matchwallswallspapers","/fr/collections/floral-murals-matchwallsmurals"
"gid://shopify/UrlRedirect/417581007075","/fr/collections/painted-papers-graphic-matchwallswallpapers-1","/fr/collections/graphical-murals-matchwallsmurals"
"gid://shopify/UrlRedirect/417581039843","/fr/collections/geometric-paints-matchwalswallpapers","/fr/collections/geometric-murals-matchwallsmurs"
"gid://shopify/UrlRedirect/417581072611","/fr/collections/nature-painted-papers-matchwallswallpapers","/fr/collections/nature-murals-matchwallsmurals"
"gid://shopify/UrlRedirect/417581105379","/fr/collections/wall-paper-matchwallswallpapers","/fr/collections/rays-mural-matchwallsmurals-1"
"gid://shopify/UrlRedirect/417581138147","/fr/collections/japanese-painted-papers-matchwallswallpapers","/fr/collections/japanese-murals-matchwallsmurals"
"gid://shopify/UrlRedirect/417581170915","/fr/collections/painted-papeles-marble-matchwallswallpa","/fr/collections/mural-mural-matchwallsmurals"
"gid://shopify/UrlRedirect/417581236451","/fr/collections/painted-papers-matchwallswallpapers","/fr/collections/murals-for-the-matchwallsmurals-room"
"gid://shopify/UrlRedirect/417581269219","/fr/collections/painted-dining-papers-matchwallswallpapers","/fr/collections/mural-for-the-matchwallsmurals-dining-room"
"gid://shopify/UrlRedirect/417581301987","/fr/collections/painted-papers-kitchen-matchwallswallpapers","/fr/collections/kitchen-murals-matchwallsmurals"
"gid://shopify/UrlRedirect/417581334755","/fr/collections/bedroom-painted-papers-matchwallswallpa","/fr/collections/bedroom-murals-matchwallsmurals"
"gid://shopify/UrlRedirect/417581400291","/fr/collections/painted-adolescents-matchwallswallpapers","/fr/collections/mural-for-teenage-rooms-matchwallsmurals"
