lot,round,checked_at_utc,page,locale,ua_label,status,pass,url,final_url,expected_href,has_cross_country_href,canonical,canonical_ok,robots,noindex,content_language_header,cf_cache_status,cf_ray,x_request_id,x_dc,server_timing_theme,server_timing_pageType,server_timing_servedBy,server_timing_requestID,server_timing_edge,server_timing_country,html_len,html_sha256_16,evidence_snippet,error
MW-GEO-LANDINGS-SPAIN-FRANCE-INTERNAL-LINKING-STOREFRONT-POST-PURGE-RECHECK-012O7,1,2026-07-04T15:53:54.164265+00:00,spain,es,browser_chrome,200,FAIL,https://www.matchwalls.com/pages/papel-pintado-espana,https://www.matchwalls.com/pages/papel-pintado-espana,/pages/papel-pintado-francia,False,https://www.matchwalls.com/pages/papel-pintado-espana,True,,False,es-ES,DYNAMIC,a15f4e31cf920148-MAD,9a6e95f1-32da-4d34-9ccc-74f792d851fd-1783180434,"gcp-europe-west1,gcp-europe-west1,gcp-europe-west1",178399019384,page,2ckt,9a6e95f1-32da-4d34-9ccc-74f792d851fd-1783180434,MAD,ES,547195,0030df5a7b624e57,"intado en Barcelona, Madrid, Valencia, Málaga, Sevilla, Girona, Tarragona, Bizkaia, Gipuzkoa, Granada, Murcia o Zaragoza, MatchWalls puede servir como punto de partida para elegir diseño, material y muestra antes de avanzar con tu proyecto.</p> <h2>Preguntas frecuentes</h2> <h3>¿Puedo pedir muestras antes de comprar?</h3> <p>Sí. Las muestras ayudan a comprobar color, textura y acabado antes de decidir el papel pintado o mural definitivo.</p> <h3>¿MatchWalls trabaja con profesionales?</h3> <p>Sí. MatchWalls trabaja con interioristas, arquitectos, tiendas y proyectos comerciales que necesitan soporte en selección, muestras o personalización.</p> <h3>¿Puedo crear un mural personalizado?</h3> <p>Sí. La opción de personalización permite adaptar un mural o trabajar con una propuesta ajustada a las medidas y necesidades del espacio.</p> <p><a href=""/collections/murales"">Ver papeles pintados",
MW-GEO-LANDINGS-SPAIN-FRANCE-INTERNAL-LINKING-STOREFRONT-POST-PURGE-RECHECK-012O7,1,2026-07-04T15:53:54.804796+00:00,spain,es,googlebot,200,PASS,https://www.matchwalls.com/pages/papel-pintado-espana,https://www.matchwalls.com/pages/papel-pintado-espana,/pages/papel-pintado-francia,True,https://www.matchwalls.com/pages/papel-pintado-espana,True,,False,es-ES,DYNAMIC,a15f4e35989acc06-MAD,0d97d948-2c0d-4555-837e-d3ab482dcf6c-1783180434,"gcp-europe-west1,gcp-europe-west1,gcp-europe-west1",178399019384,page,f2rh,0d97d948-2c0d-4555-837e-d3ab482dcf6c-1783180434,MAD,ES,547456,78374fdb70ec7aa3,"rial y muestra antes de avanzar con tu proyecto.</p> <h2>Papel pintado por país</h2><p>Estás consultando las soluciones para España. Si tu proyecto se desarrolla en Francia o quieres comparar opciones para otro mercado, consulta la guía de <a href=""/pages/papel-pintado-francia"">papel pintado en Francia</a>.</p> <h2>Preguntas frecuentes</h2> <h3>¿Puedo pedir muestras antes de comprar?</h3> <p>Sí. Las muestras ayudan a comprobar color, textura y acabado antes de decidir el papel pintado o mural definitivo.</p> <h3>¿MatchWalls trabaja con profesionales?</h3> <p>Sí. MatchWalls trabaja con interioristas, arquitectos, tiendas y proyectos comerciales que necesitan soporte en selección, muestras o personalización.</p> <h3>¿Puedo crear un mural personalizado?</h3> <p>Sí. La opción de personalización permite adaptar un mural o trabajar con una propuesta ajustada a las medidas y necesidades del",
MW-GEO-LANDINGS-SPAIN-FRANCE-INTERNAL-LINKING-STOREFRONT-POST-PURGE-RECHECK-012O7,1,2026-07-04T15:53:55.411167+00:00,spain,es,bingbot,200,FAIL,https://www.matchwalls.com/pages/papel-pintado-espana,https://www.matchwalls.com/pages/papel-pintado-espana,/pages/papel-pintado-francia,False,https://www.matchwalls.com/pages/papel-pintado-espana,True,,False,es-ES,DYNAMIC,a15f4e398f82db84-MAD,e2acb80f-fa7b-4b2f-a256-0c6b7158dc0b-1783180435,"gcp-europe-west1,gcp-europe-west1,gcp-europe-west1",178399019384,page,7snw,e2acb80f-fa7b-4b2f-a256-0c6b7158dc0b-1783180435,MAD,ES,547195,0030df5a7b624e57,"intado en Barcelona, Madrid, Valencia, Málaga, Sevilla, Girona, Tarragona, Bizkaia, Gipuzkoa, Granada, Murcia o Zaragoza, MatchWalls puede servir como punto de partida para elegir diseño, material y muestra antes de avanzar con tu proyecto.</p> <h2>Preguntas frecuentes</h2> <h3>¿Puedo pedir muestras antes de comprar?</h3> <p>Sí. Las muestras ayudan a comprobar color, textura y acabado antes de decidir el papel pintado o mural definitivo.</p> <h3>¿MatchWalls trabaja con profesionales?</h3> <p>Sí. MatchWalls trabaja con interioristas, arquitectos, tiendas y proyectos comerciales que necesitan soporte en selección, muestras o personalización.</p> <h3>¿Puedo crear un mural personalizado?</h3> <p>Sí. La opción de personalización permite adaptar un mural o trabajar con una propuesta ajustada a las medidas y necesidades del espacio.</p> <p><a href=""/collections/murales"">Ver papeles pintados",
MW-GEO-LANDINGS-SPAIN-FRANCE-INTERNAL-LINKING-STOREFRONT-POST-PURGE-RECHECK-012O7,1,2026-07-04T15:53:55.989087+00:00,spain,es,generic_ai_search,200,PASS,https://www.matchwalls.com/pages/papel-pintado-espana,https://www.matchwalls.com/pages/papel-pintado-espana,/pages/papel-pintado-francia,True,https://www.matchwalls.com/pages/papel-pintado-espana,True,,False,es-ES,DYNAMIC,a15f4e3cfeed034d-MAD,ad7b5749-a37d-4a18-abcb-98a255b58b30-1783180435,"gcp-europe-west1,gcp-europe-west1,gcp-europe-west1",178399019384,page,wnsc,ad7b5749-a37d-4a18-abcb-98a255b58b30-1783180435,MAD,ES,547456,78374fdb70ec7aa3,"rial y muestra antes de avanzar con tu proyecto.</p> <h2>Papel pintado por país</h2><p>Estás consultando las soluciones para España. Si tu proyecto se desarrolla en Francia o quieres comparar opciones para otro mercado, consulta la guía de <a href=""/pages/papel-pintado-francia"">papel pintado en Francia</a>.</p> <h2>Preguntas frecuentes</h2> <h3>¿Puedo pedir muestras antes de comprar?</h3> <p>Sí. Las muestras ayudan a comprobar color, textura y acabado antes de decidir el papel pintado o mural definitivo.</p> <h3>¿MatchWalls trabaja con profesionales?</h3> <p>Sí. MatchWalls trabaja con interioristas, arquitectos, tiendas y proyectos comerciales que necesitan soporte en selección, muestras o personalización.</p> <h3>¿Puedo crear un mural personalizado?</h3> <p>Sí. La opción de personalización permite adaptar un mural o trabajar con una propuesta ajustada a las medidas y necesidades del",
MW-GEO-LANDINGS-SPAIN-FRANCE-INTERNAL-LINKING-STOREFRONT-POST-PURGE-RECHECK-012O7,1,2026-07-04T15:53:56.566967+00:00,spain,en,browser_chrome,200,FAIL,https://www.matchwalls.com/en/pages/spain-wallpaper,https://www.matchwalls.com/en/pages/spain-wallpaper,/en/pages/french-wallpaper,False,https://www.matchwalls.com/en/pages/spain-wallpaper,True,,False,en-ES,DYNAMIC,a15f4e40ac7edbf5-MAD,ec1981f5-92fe-4afb-9688-01b757c34b7e-1783180436,"gcp-europe-west1,gcp-europe-west1,gcp-europe-west1",178399019384,page,q2fq,ec1981f5-92fe-4afb-9688-01b757c34b7e-1783180436,MAD,ES,548686,9f9632754c902216,"your project is in Barcelona, Madrid, Valencia, Málaga, Sevilla, Girona, Tarragona, Bizkaia, Gipuzkoa, Granada, Murcia or Zaragoza, MatchWalls can be a starting point for choosing the right design, material and samples before moving forward.</p> <h2>Frequently asked questions</h2> <h3>Can I order samples before buying?</h3> <p>Yes. Samples help you check colour, texture and finish before choosing the final wallpaper or mural.</p> <h3>Does MatchWalls work with professionals?</h3> <p>Yes. MatchWalls works with interior designers, architects, retail spaces and commercial projects that need support with design selection, samples or customisation.</p> <h3>Can I create a custom mural?</h3> <p>Yes. Customisation options make it possible to adapt a mural or prepare a proposal based on the measurements and needs of the space.</p> <p><a href=""/en/collections/all-matchwallsmurals-murals"">Explore co",
MW-GEO-LANDINGS-SPAIN-FRANCE-INTERNAL-LINKING-STOREFRONT-POST-PURGE-RECHECK-012O7,1,2026-07-04T15:53:57.215385+00:00,spain,en,googlebot,200,FAIL,https://www.matchwalls.com/en/pages/spain-wallpaper,https://www.matchwalls.com/en/pages/spain-wallpaper,/en/pages/french-wallpaper,False,https://www.matchwalls.com/en/pages/spain-wallpaper,True,,False,en-ES,DYNAMIC,a15f4e44ac30d872-MAD,c490ad28-3c93-413a-8dc8-2c3c2e992689-1783180437,"gcp-europe-west1,gcp-europe-west1,gcp-europe-west1",178399019384,page,wl78,c490ad28-3c93-413a-8dc8-2c3c2e992689-1783180437,MAD,ES,548686,e087a02507e67677,"your project is in Barcelona, Madrid, Valencia, Málaga, Sevilla, Girona, Tarragona, Bizkaia, Gipuzkoa, Granada, Murcia or Zaragoza, MatchWalls can be a starting point for choosing the right design, material and samples before moving forward.</p> <h2>Frequently asked questions</h2> <h3>Can I order samples before buying?</h3> <p>Yes. Samples help you check colour, texture and finish before choosing the final wallpaper or mural.</p> <h3>Does MatchWalls work with professionals?</h3> <p>Yes. MatchWalls works with interior designers, architects, retail spaces and commercial projects that need support with design selection, samples or customisation.</p> <h3>Can I create a custom mural?</h3> <p>Yes. Customisation options make it possible to adapt a mural or prepare a proposal based on the measurements and needs of the space.</p> <p><a href=""/en/collections/all-matchwallsmurals-murals"">Explore co",
MW-GEO-LANDINGS-SPAIN-FRANCE-INTERNAL-LINKING-STOREFRONT-POST-PURGE-RECHECK-012O7,1,2026-07-04T15:53:57.800808+00:00,spain,en,bingbot,200,FAIL,https://www.matchwalls.com/en/pages/spain-wallpaper,https://www.matchwalls.com/en/pages/spain-wallpaper,/en/pages/french-wallpaper,False,https://www.matchwalls.com/en/pages/spain-wallpaper,True,,False,en-ES,DYNAMIC,a15f4e488b835874-MAD,95a577bd-15fe-4f02-a5c0-d71dbdc18c35-1783180437,"gcp-europe-west1,gcp-europe-west1,gcp-europe-west1",178399019384,page,ppwh,95a577bd-15fe-4f02-a5c0-d71dbdc18c35-1783180437,MAD,ES,548686,10a44cb077a526c7,"your project is in Barcelona, Madrid, Valencia, Málaga, Sevilla, Girona, Tarragona, Bizkaia, Gipuzkoa, Granada, Murcia or Zaragoza, MatchWalls can be a starting point for choosing the right design, material and samples before moving forward.</p> <h2>Frequently asked questions</h2> <h3>Can I order samples before buying?</h3> <p>Yes. Samples help you check colour, texture and finish before choosing the final wallpaper or mural.</p> <h3>Does MatchWalls work with professionals?</h3> <p>Yes. MatchWalls works with interior designers, architects, retail spaces and commercial projects that need support with design selection, samples or customisation.</p> <h3>Can I create a custom mural?</h3> <p>Yes. Customisation options make it possible to adapt a mural or prepare a proposal based on the measurements and needs of the space.</p> <p><a href=""/en/collections/all-matchwallsmurals-murals"">Explore co",
MW-GEO-LANDINGS-SPAIN-FRANCE-INTERNAL-LINKING-STOREFRONT-POST-PURGE-RECHECK-012O7,1,2026-07-04T15:53:58.475480+00:00,spain,en,generic_ai_search,200,FAIL,https://www.matchwalls.com/en/pages/spain-wallpaper,https://www.matchwalls.com/en/pages/spain-wallpaper,/en/pages/french-wallpaper,False,https://www.matchwalls.com/en/pages/spain-wallpaper,True,,False,en-ES,DYNAMIC,a15f4e4cb9a9587c-MAD,01f8bf74-73fa-4218-9a40-442da99c263b-1783180438,"gcp-europe-west1,gcp-europe-west1,gcp-europe-west1",178399019384,page,qhwm,01f8bf74-73fa-4218-9a40-442da99c263b-1783180438,MAD,ES,548686,9f9632754c902216,"your project is in Barcelona, Madrid, Valencia, Málaga, Sevilla, Girona, Tarragona, Bizkaia, Gipuzkoa, Granada, Murcia or Zaragoza, MatchWalls can be a starting point for choosing the right design, material and samples before moving forward.</p> <h2>Frequently asked questions</h2> <h3>Can I order samples before buying?</h3> <p>Yes. Samples help you check colour, texture and finish before choosing the final wallpaper or mural.</p> <h3>Does MatchWalls work with professionals?</h3> <p>Yes. MatchWalls works with interior designers, architects, retail spaces and commercial projects that need support with design selection, samples or customisation.</p> <h3>Can I create a custom mural?</h3> <p>Yes. Customisation options make it possible to adapt a mural or prepare a proposal based on the measurements and needs of the space.</p> <p><a href=""/en/collections/all-matchwallsmurals-murals"">Explore co",
MW-GEO-LANDINGS-SPAIN-FRANCE-INTERNAL-LINKING-STOREFRONT-POST-PURGE-RECHECK-012O7,1,2026-07-04T15:53:59.077416+00:00,spain,fr,browser_chrome,200,FAIL,https://www.matchwalls.com/fr/pages/papier-peint-en-espagne,https://www.matchwalls.com/fr/pages/papier-peint-en-espagne,/fr/pages/papier-peint-en-france,False,https://www.matchwalls.com/fr/pages/papier-peint-en-espagne,True,,False,fr-ES,DYNAMIC,a15f4e506dc57b07-MAD,cdc25012-900a-4435-ad08-f3d3e7459bd6-1783180439,"gcp-europe-west1,gcp-europe-west1,gcp-europe-west1",178399019384,page,8kwp,cdc25012-900a-4435-ad08-f3d3e7459bd6-1783180439,MAD,ES,552130,c617630c52203e88,"f (heightInput) { const debouncedHeightEvent = debounce(() => { pushInputMuralOutsideEvent('height', heightInput.value); }, 300); heightInput.addEventListener('input', debouncedHeightEvent); } }); </script> </store-header> </height-observer><navigation-drawer mobile-opening=""left"" open-from=""left"" id=""header-sidebar-menu"" class=""navigation-drawer drawer lg:hidden"" > <button is=""close-button"" aria-label=""Près""><svg role=""presentation"" stroke-width=""2"" focusable=""false"" width=""19"" height=""19"" class=""icon icon-close"" viewBox=""0 0 24 24"" > <path d=""M17.658 6.343 6.344 17.657M17.658 17.657 6.344 6.343"" stroke=""currentColor""></path> </svg></button><div class=""panel-list__wrapper""> <div class=""panel""> <div class=""panel__wrapper"" >",
MW-GEO-LANDINGS-SPAIN-FRANCE-INTERNAL-LINKING-STOREFRONT-POST-PURGE-RECHECK-012O7,1,2026-07-04T15:53:59.670326+00:00,spain,fr,googlebot,200,FAIL,https://www.matchwalls.com/fr/pages/papier-peint-en-espagne,https://www.matchwalls.com/fr/pages/papier-peint-en-espagne,/fr/pages/papier-peint-en-france,False,https://www.matchwalls.com/fr/pages/papier-peint-en-espagne,True,,False,fr-ES,DYNAMIC,a15f4e543ff280ee-MAD,1ec33a41-9da0-40e7-930b-195342be7909-1783180439,"gcp-europe-west1,gcp-europe-west1,gcp-europe-west1",178399019384,page,bq5s,1ec33a41-9da0-40e7-930b-195342be7909-1783180439,MAD,ES,552130,e6f6ec69e55e7ec6,"f (heightInput) { const debouncedHeightEvent = debounce(() => { pushInputMuralOutsideEvent('height', heightInput.value); }, 300); heightInput.addEventListener('input', debouncedHeightEvent); } }); </script> </store-header> </height-observer><navigation-drawer mobile-opening=""left"" open-from=""left"" id=""header-sidebar-menu"" class=""navigation-drawer drawer lg:hidden"" > <button is=""close-button"" aria-label=""Près""><svg role=""presentation"" stroke-width=""2"" focusable=""false"" width=""19"" height=""19"" class=""icon icon-close"" viewBox=""0 0 24 24"" > <path d=""M17.658 6.343 6.344 17.657M17.658 17.657 6.344 6.343"" stroke=""currentColor""></path> </svg></button><div class=""panel-list__wrapper""> <div class=""panel""> <div class=""panel__wrapper"" >",
