tipo,id,path,target,source_first,target_first,source_in_sitemap,target_in_sitemap,estado
product,gid://shopify/UrlRedirect/408471535843,/products/blue-dot-harmony-gris-copia,/products/blue-dot-harmony-rosa-1,301,200,NO,YES,VERIFICADO PERO MEJORABLE
product,gid://shopify/UrlRedirect/408506761443,/products/punto-de-conexion-negro-copia,/products/punto-de-conexion-blanco-negro,301,200,NO,YES,VERIFICADO PERO MEJORABLE
product,gid://shopify/UrlRedirect/408513249507,/products/ethereal-groves-azul-copia,/products/ethereal-flow-blanco-negro,301,200,NO,YES,VERIFICADO PERO MEJORABLE
product,gid://shopify/UrlRedirect/408513315043,/products/ethereal-flow-blanco-y-negro-copia,/products/ethereal-flow-verde,301,200,NO,YES,VERIFICADO PERO MEJORABLE
product,gid://shopify/UrlRedirect/408513380579,/products/ethereal-flow-verde-copia,/products/ethereal-flow-azul,301,200,NO,YES,VERIFICADO PERO MEJORABLE
product,gid://shopify/UrlRedirect/408514101475,/products/linear-dynamics-rojo-copia,/products/linear-dynamics-rosa-2,301,200,NO,YES,VERIFICADO PERO MEJORABLE
product,gid://shopify/UrlRedirect/408514134243,/products/linear-dynamics-azul-marino-copia,/products/linear-dynamics-azul-blanco,301,200,NO,YES,VERIFICADO PERO MEJORABLE
product,gid://shopify/UrlRedirect/408525799651,/products/muestra-de-enchanted-garden-symphony-multicolor-copia,/products/muestra-de-enchanted-garden-symphony-negro-copia,301,200,NO,NO,VERIFICADO PERO MEJORABLE
product,gid://shopify/UrlRedirect/408531534051,/products/vetasde-luz-blanco,/products/vetas-de-luz-blanco,301,200,NO,YES,VERIFICADO PERO MEJORABLE
product,gid://shopify/UrlRedirect/408531763427,/products/muestra-eternal-marble-elegance-multicolor,/products/muestra-aurora-maritima-rosa,301,200,NO,NO,VERIFICADO PERO MEJORABLE
product,gid://shopify/UrlRedirect/408531796195,/products/abismo-dorado-negro-copia,/products/eternal-marble-elegance,301,200,NO,YES,VERIFICADO PERO MEJORABLE
product,gid://shopify/UrlRedirect/410313523427,/products/botanical-grid-marron-copy,/products/floral-cascade-rosa,301,200,NO,YES,VERIFICADO PERO MEJORABLE
product,gid://shopify/UrlRedirect/410313556195,/products/muestra-de-floral-cascade-rosa-copy,/products/muestra-de-floral-cascade-lila,301,200,NO,NO,VERIFICADO PERO MEJORABLE
product,gid://shopify/UrlRedirect/410313588963,/products/floral-cascade-rosa-copy-1,/products/floral-cascade-lila,301,200,NO,YES,VERIFICADO PERO MEJORABLE
product,gid://shopify/UrlRedirect/410313654499,/products/muestra-de-botanical-grid-marron-copy,/products/muestra-de-floral-cascade-rosa,301,200,NO,NO,VERIFICADO PERO MEJORABLE
product,gid://shopify/UrlRedirect/410314997987,/products/muestra-de-spectrum-grid-multicolor-copy,/products/muestra-de-spectrum-grid-multicolor-1,301,200,NO,NO,VERIFICADO PERO MEJORABLE
product,gid://shopify/UrlRedirect/412616229091,/products/muestra-desnudos-blanco-y-negro,/collections/muestras,301,404,NO,NO,REQUIERE DECISION HUMANA
product,gid://shopify/UrlRedirect/417046331619,/products/sombras-tropicales-blanco-y-negro-copy,/products/sombras-tropicales-blanco-y-negro-2,301,200,NO,YES,VERIFICADO PERO MEJORABLE
page,gid://shopify/UrlRedirect/405087486179,/pages/sobre-nosotros-1,/pages/sobre-nosotros,301,200,NO,YES,VERIFICADO Y CORRECTO
page,gid://shopify/UrlRedirect/405088796899,/pages/como-tomar-medidas-paredes-y-techos-boton,/pages/medidas-paredes,301,200,NO,YES,VERIFICADO Y CORRECTO
