product_gid,legacy_resource_id,current_seo_hidden,proposed_seo_hidden,action_group,representative_title,representative_url,url_count,languages,product_types,product_type_anomaly,priority_anomaly,priority_anomaly_flags,es_mapping_status,es_inferred_main_url,rollback,all_urls,rolling_block
gid://shopify/Product/14835715867000,14835715867000,null,1,CANDIDATO_011B5,Muestra de Misty Blossom Lila,https://www.matchwalls.com/products/muestra-de-misty-blossom-lila,7,es|en|fr|de|nl|it|pt,Amostra|Campione|Muestra|Probe|Sample|Steekproef|Échantillon,no,yes,nl_non_nl_sample_term_detected,CANDIDATO_POR_HANDLE_EXACTO,https://www.matchwalls.com/products/misty-blossom-lila,delete seo.hidden to restore null,https://www.matchwalls.com/products/muestra-de-misty-blossom-lila | https://www.matchwalls.com/en/products/misty-blossom-lila-sample | https://www.matchwalls.com/fr/products/echantillon-de-lila-en-fleur-brumeuse | https://www.matchwalls.com/de/products/misty-blossom-lila-probe | https://www.matchwalls.com/nl/products/misty-blossom-lila-sample-1 | https://www.matchwalls.com/it/products/campione-di-lila-misty-blossom | https://www.matchwalls.com/pt/products/amostra-enevoada-de-flor-lila,011B5-02
gid://shopify/Product/14835715801464,14835715801464,null,1,CANDIDATO_011B5,Muestra de Misty Blossom Verde,https://www.matchwalls.com/products/muestra-de-misty-blossom-verde,6,es|en|fr|de|it|pt,Amostra|Campione|Muestra|Probe|Sample|Échantillon,no,no,,CANDIDATO_POR_HANDLE_EXACTO,https://www.matchwalls.com/products/misty-blossom-verde,delete seo.hidden to restore null,https://www.matchwalls.com/products/muestra-de-misty-blossom-verde | https://www.matchwalls.com/en/products/misty-blossom-green-sample-2 | https://www.matchwalls.com/fr/products/echantillon-vert-de-fleur-brumeux | https://www.matchwalls.com/de/products/neblige-blutengrune-probe | https://www.matchwalls.com/it/products/campione-verde-misty-blossom | https://www.matchwalls.com/pt/products/amostra-verde-de-flor-enevoada,011B5-02
gid://shopify/Product/14835718390136,14835718390136,null,1,CANDIDATO_011B5,Muestra de Peaks Azul,https://www.matchwalls.com/products/muestra-de-peaks-azul,6,es|en|fr|de|it|pt,Amostra|Campione|Muestra|Probe|Sample|Échantillon,no,no,,CANDIDATO_POR_HANDLE_EXACTO,https://www.matchwalls.com/products/peaks-azul,delete seo.hidden to restore null,https://www.matchwalls.com/products/muestra-de-peaks-azul | https://www.matchwalls.com/en/products/blue-peaks-sample | https://www.matchwalls.com/fr/products/echantillon-de-pics-bleus | https://www.matchwalls.com/de/products/blue-peaks-probe | https://www.matchwalls.com/it/products/campione-di-picchi-blu | https://www.matchwalls.com/pt/products/amostra-de-picos-azuis,011B5-02
gid://shopify/Product/14835718226296,14835718226296,null,1,CANDIDATO_011B5,Muestra de Peaks Gris,https://www.matchwalls.com/products/muestra-de-peaks-gris,6,es|en|fr|de|it|pt,Amostra|Campione|Muestra|Probe|Sample|Échantillon,no,no,,CANDIDATO_POR_HANDLE_EXACTO,https://www.matchwalls.com/products/peaks-gris,delete seo.hidden to restore null,https://www.matchwalls.com/products/muestra-de-peaks-gris | https://www.matchwalls.com/en/products/gray-peaks-sample | https://www.matchwalls.com/fr/products/echantillon-de-pics-gris | https://www.matchwalls.com/de/products/grey-peaks-probe | https://www.matchwalls.com/it/products/campione-di-picchi-grigi | https://www.matchwalls.com/pt/products/amostra-de-picos-de-cinza,011B5-02
gid://shopify/Product/14835718521208,14835718521208,null,1,CANDIDATO_011B5,Muestra de Peaks Rosa,https://www.matchwalls.com/products/muestra-de-peaks-rosa,6,es|en|fr|de|it|pt,Amostra|Campione|Muestra|Probe|Sample|Échantillon,no,no,,CANDIDATO_POR_HANDLE_EXACTO,https://www.matchwalls.com/products/peaks-rosa,delete seo.hidden to restore null,https://www.matchwalls.com/products/muestra-de-peaks-rosa | https://www.matchwalls.com/en/products/pink-peaks-sample | https://www.matchwalls.com/fr/products/echantillon-de-pics-roses | https://www.matchwalls.com/de/products/pink-peaks-probe | https://www.matchwalls.com/it/products/campione-di-cime-rosa | https://www.matchwalls.com/pt/products/amostra-de-picos-rosa,011B5-02
gid://shopify/Product/14835718619512,14835718619512,null,1,CANDIDATO_011B5,Muestra de Peaks Verde,https://www.matchwalls.com/products/muestra-de-peaks-verde,6,es|en|fr|de|it|pt,Amostra|Campione|Muestra|Probe|Sample|Échantillon,no,no,,CANDIDATO_POR_HANDLE_EXACTO,https://www.matchwalls.com/products/peaks-verde,delete seo.hidden to restore null,https://www.matchwalls.com/products/muestra-de-peaks-verde | https://www.matchwalls.com/en/products/green-peaks-sample | https://www.matchwalls.com/fr/products/echantillon-de-sommets-verts | https://www.matchwalls.com/de/products/grune-peaks-probe | https://www.matchwalls.com/it/products/campione-di-picchi-verdi | https://www.matchwalls.com/pt/products/amostra-de-picos-verdes,011B5-02
gid://shopify/Product/14835714425208,14835714425208,null,1,CANDIDATO_011B5,Muestra de Playful Stripes Amarillo,https://www.matchwalls.com/products/muestra-de-playful-stripes-amarillo,6,es|en|fr|de|it|pt,Amostra|Campione|Muestra|Probe|Sample|Échantillon,no,no,,CANDIDATO_POR_HANDLE_EXACTO,https://www.matchwalls.com/products/playful-stripes-amarillo,delete seo.hidden to restore null,https://www.matchwalls.com/products/muestra-de-playful-stripes-amarillo | https://www.matchwalls.com/en/products/playful-stripes-yellow-sample | https://www.matchwalls.com/fr/products/rayures-ludiques-echantillon-jaune | https://www.matchwalls.com/de/products/verspielte-streifen-gelbe-probe | https://www.matchwalls.com/it/products/campione-giallo-a-strisce-giocose | https://www.matchwalls.com/pt/products/amostra-amarela-de-listras-divertidas,011B5-02
gid://shopify/Product/14835714654584,14835714654584,null,1,CANDIDATO_011B5,Muestra de Playful Stripes Azul,https://www.matchwalls.com/products/muestra-de-playful-stripes-azul,6,es|en|fr|de|it|pt,Amostra|Campione|Muestra|Probe|Sample|Échantillon,no,no,,CANDIDATO_POR_HANDLE_EXACTO,https://www.matchwalls.com/products/playful-stripes-azul,delete seo.hidden to restore null,https://www.matchwalls.com/products/muestra-de-playful-stripes-azul | https://www.matchwalls.com/en/products/playful-stripes-blue-sample | https://www.matchwalls.com/fr/products/echantillon-bleu-de-rayures-ludiques | https://www.matchwalls.com/de/products/verspielte-streifen-blaue-probe | https://www.matchwalls.com/it/products/strips-stripes-blue-sample | https://www.matchwalls.com/pt/products/amostra-azul-de-listras-divertidas,011B5-02
gid://shopify/Product/14835714687352,14835714687352,null,1,CANDIDATO_011B5,Muestra de Playful Stripes Beige,https://www.matchwalls.com/products/muestra-de-playful-stripes-beige,1,es,Muestra,no,no,,CANDIDATO_POR_HANDLE_EXACTO,https://www.matchwalls.com/products/playful-stripes-beige,delete seo.hidden to restore null,https://www.matchwalls.com/products/muestra-de-playful-stripes-beige,011B5-02
gid://shopify/Product/14835714556280,14835714556280,null,1,CANDIDATO_011B5,Muestra de Playful Stripes Multicolor,https://www.matchwalls.com/products/muestra-de-playful-stripes-multicolor,6,es|en|fr|de|it|pt,Amostra|Campione|Muestra|Probe|Sample|Échantillon,no,no,,CANDIDATO_POR_HANDLE_EXACTO,https://www.matchwalls.com/products/playful-stripes-multicolor,delete seo.hidden to restore null,https://www.matchwalls.com/products/muestra-de-playful-stripes-multicolor | https://www.matchwalls.com/en/products/multicolor-playful-stripes-sample | https://www.matchwalls.com/fr/products/echantillon-de-rayures-ludiques-multicolores | https://www.matchwalls.com/de/products/multicolor-probe-mit-verspielten-streifen | https://www.matchwalls.com/it/products/campione-di-strisce-giocose-multicolori | https://www.matchwalls.com/pt/products/amostra-de-listras-divertidas-multicoloridas,011B5-02
