"id","path","target","source_initial_status","source_hops","source_status_chain","source_final_status","source_final_url","target_initial_status","target_hops","target_status_chain","target_final_status","target_final_url","source_error","target_error"
"gid://shopify/UrlRedirect/417580974307","/fr/collections/floral-painted-papers-matchwallswallspapers","/fr/collections/peintures-murales-florales-matchwallsmurals","301","1","301 -> 200","200","https://www.matchwalls.com/fr/collections/peintures-murales-florales-matchwallsmurals","200","0","200","200","https://www.matchwalls.com/fr/collections/peintures-murales-florales-matchwallsmurals","",""
"gid://shopify/UrlRedirect/417581007075","/fr/collections/painted-papers-graphic-matchwallswallpapers-1","/fr/collections/peintures-murales-graphiques-matchwallsmurals","301","1","301 -> 200","200","https://www.matchwalls.com/fr/collections/peintures-murales-graphiques-matchwallsmurals","200","0","200","200","https://www.matchwalls.com/fr/collections/peintures-murales-graphiques-matchwallsmurals","",""
"gid://shopify/UrlRedirect/417581039843","/fr/collections/geometric-paints-matchwalswallpapers","/fr/collections/peintures-murales-geometriques-matchwallsmurs","301","1","301 -> 200","200","https://www.matchwalls.com/fr/collections/peintures-murales-geometriques-matchwallsmurs","200","0","200","200","https://www.matchwalls.com/fr/collections/peintures-murales-geometriques-matchwallsmurs","",""
"gid://shopify/UrlRedirect/417581072611","/fr/collections/nature-painted-papers-matchwallswallpapers","/fr/collections/peintures-murales-de-la-nature-matchwallsmurals","301","1","301 -> 200","200","https://www.matchwalls.com/fr/collections/peintures-murales-de-la-nature-matchwallsmurals","200","0","200","200","https://www.matchwalls.com/fr/collections/peintures-murales-de-la-nature-matchwallsmurals","",""
"gid://shopify/UrlRedirect/417581105379","/fr/collections/wall-paper-matchwallswallpapers","/fr/collections/rayons-muraux-matchwallsmurals","301","1","301 -> 200","200","https://www.matchwalls.com/fr/collections/rayons-muraux-matchwallsmurals","200","0","200","200","https://www.matchwalls.com/fr/collections/rayons-muraux-matchwallsmurals","",""
"gid://shopify/UrlRedirect/417581138147","/fr/collections/japanese-painted-papers-matchwallswallpapers","/fr/collections/peintures-murales-japonaises-matchwallsmurals","301","1","301 -> 200","200","https://www.matchwalls.com/fr/collections/peintures-murales-japonaises-matchwallsmurals","200","0","200","200","https://www.matchwalls.com/fr/collections/peintures-murales-japonaises-matchwallsmurals","",""
"gid://shopify/UrlRedirect/417581170915","/fr/collections/painted-papeles-marble-matchwallswallpa","/fr/collections/murale-murale-matchwallsmurals","301","1","301 -> 200","200","https://www.matchwalls.com/fr/collections/murale-murale-matchwallsmurals","200","0","200","200","https://www.matchwalls.com/fr/collections/murale-murale-matchwallsmurals","",""
"gid://shopify/UrlRedirect/417581236451","/fr/collections/painted-papers-matchwallswallpapers","/fr/collections/peintures-murales-pour-la-salle-matchwallsmurals","301","1","301 -> 200","200","https://www.matchwalls.com/fr/collections/peintures-murales-pour-la-salle-matchwallsmurals","200","0","200","200","https://www.matchwalls.com/fr/collections/peintures-murales-pour-la-salle-matchwallsmurals","",""
"gid://shopify/UrlRedirect/417581269219","/fr/collections/painted-dining-papers-matchwallswallpapers","/fr/collections/murale-pour-la-salle-a-manger-matchwallsmurals","301","1","301 -> 200","200","https://www.matchwalls.com/fr/collections/murale-pour-la-salle-a-manger-matchwallsmurals","200","0","200","200","https://www.matchwalls.com/fr/collections/murale-pour-la-salle-a-manger-matchwallsmurals","",""
"gid://shopify/UrlRedirect/417581301987","/fr/collections/painted-papers-kitchen-matchwallswallpapers","/fr/collections/mindicules-de-cuisine-matchwallsmurals","301","1","301 -> 200","200","https://www.matchwalls.com/fr/collections/mindicules-de-cuisine-matchwallsmurals","200","0","200","200","https://www.matchwalls.com/fr/collections/mindicules-de-cuisine-matchwallsmurals","",""
"gid://shopify/UrlRedirect/417581334755","/fr/collections/bedroom-painted-papers-matchwallswallpa","/fr/collections/peintures-murales-de-chambre-matchwallsmurals","301","1","301 -> 200","200","https://www.matchwalls.com/fr/collections/peintures-murales-de-chambre-matchwallsmurals","200","0","200","200","https://www.matchwalls.com/fr/collections/peintures-murales-de-chambre-matchwallsmurals","",""
"gid://shopify/UrlRedirect/417581400291","/fr/collections/painted-adolescents-matchwallswallpapers","/fr/collections/peinture-murale-pour-les-salles-dadolescents-matchwallsmurals","301","1","301 -> 200","200","https://www.matchwalls.com/fr/collections/peinture-murale-pour-les-salles-dadolescents-matchwallsmurals","200","0","200","200","https://www.matchwalls.com/fr/collections/peinture-murale-pour-les-salles-dadolescents-matchwallsmurals","",""
