"locale","id","path","target","source_initial_status","source_hops","source_final_status","source_final_url","source_status_chain","target_initial_status","target_hops","target_final_status","target_final_url","target_status_chain","source_error","target_error"
"fr","gid://shopify/UrlRedirect/417580974307","/fr/collections/floral-painted-papers-matchwallswallspapers","/fr/collections/floral-murals-matchwallsmurals","301","2","200","https://www.matchwalls.com/fr/collections/peintures-murales-florales-matchwallsmurals","301 -> 301 -> 200","301","1","200","https://www.matchwalls.com/fr/collections/peintures-murales-florales-matchwallsmurals","301 -> 200","",""
"fr","gid://shopify/UrlRedirect/417581007075","/fr/collections/painted-papers-graphic-matchwallswallpapers-1","/fr/collections/graphical-murals-matchwallsmurals","301","2","200","https://www.matchwalls.com/fr/collections/peintures-murales-graphiques-matchwallsmurals","301 -> 301 -> 200","301","1","200","https://www.matchwalls.com/fr/collections/peintures-murales-graphiques-matchwallsmurals","301 -> 200","",""
"fr","gid://shopify/UrlRedirect/417581039843","/fr/collections/geometric-paints-matchwalswallpapers","/fr/collections/geometric-murals-matchwallsmurs","301","2","200","https://www.matchwalls.com/fr/collections/peintures-murales-geometriques-matchwallsmurs","301 -> 301 -> 200","301","1","200","https://www.matchwalls.com/fr/collections/peintures-murales-geometriques-matchwallsmurs","301 -> 200","",""
"fr","gid://shopify/UrlRedirect/417581072611","/fr/collections/nature-painted-papers-matchwallswallpapers","/fr/collections/nature-murals-matchwallsmurals","301","2","200","https://www.matchwalls.com/fr/collections/peintures-murales-de-la-nature-matchwallsmurals","301 -> 301 -> 200","301","1","200","https://www.matchwalls.com/fr/collections/peintures-murales-de-la-nature-matchwallsmurals","301 -> 200","",""
"fr","gid://shopify/UrlRedirect/417581105379","/fr/collections/wall-paper-matchwallswallpapers","/fr/collections/rays-mural-matchwallsmurals-1","301","2","200","https://www.matchwalls.com/fr/collections/rayons-muraux-matchwallsmurals","301 -> 301 -> 200","301","1","200","https://www.matchwalls.com/fr/collections/rayons-muraux-matchwallsmurals","301 -> 200","",""
"fr","gid://shopify/UrlRedirect/417581138147","/fr/collections/japanese-painted-papers-matchwallswallpapers","/fr/collections/japanese-murals-matchwallsmurals","301","2","200","https://www.matchwalls.com/fr/collections/peintures-murales-japonaises-matchwallsmurals","301 -> 301 -> 200","301","1","200","https://www.matchwalls.com/fr/collections/peintures-murales-japonaises-matchwallsmurals","301 -> 200","",""
"fr","gid://shopify/UrlRedirect/417581170915","/fr/collections/painted-papeles-marble-matchwallswallpa","/fr/collections/mural-mural-matchwallsmurals","301","2","200","https://www.matchwalls.com/fr/collections/murale-murale-matchwallsmurals","301 -> 301 -> 200","301","1","200","https://www.matchwalls.com/fr/collections/murale-murale-matchwallsmurals","301 -> 200","",""
"fr","gid://shopify/UrlRedirect/417581236451","/fr/collections/painted-papers-matchwallswallpapers","/fr/collections/murals-for-the-matchwallsmurals-room","301","2","200","https://www.matchwalls.com/fr/collections/peintures-murales-pour-la-salle-matchwallsmurals","301 -> 301 -> 200","301","1","200","https://www.matchwalls.com/fr/collections/peintures-murales-pour-la-salle-matchwallsmurals","301 -> 200","",""
"fr","gid://shopify/UrlRedirect/417581269219","/fr/collections/painted-dining-papers-matchwallswallpapers","/fr/collections/mural-for-the-matchwallsmurals-dining-room","301","2","200","https://www.matchwalls.com/fr/collections/murale-pour-la-salle-a-manger-matchwallsmurals","301 -> 301 -> 200","301","1","200","https://www.matchwalls.com/fr/collections/murale-pour-la-salle-a-manger-matchwallsmurals","301 -> 200","",""
"fr","gid://shopify/UrlRedirect/417581301987","/fr/collections/painted-papers-kitchen-matchwallswallpapers","/fr/collections/kitchen-murals-matchwallsmurals","301","2","200","https://www.matchwalls.com/fr/collections/mindicules-de-cuisine-matchwallsmurals","301 -> 301 -> 200","301","1","200","https://www.matchwalls.com/fr/collections/mindicules-de-cuisine-matchwallsmurals","301 -> 200","",""
"fr","gid://shopify/UrlRedirect/417581334755","/fr/collections/bedroom-painted-papers-matchwallswallpa","/fr/collections/bedroom-murals-matchwallsmurals","301","2","200","https://www.matchwalls.com/fr/collections/peintures-murales-de-chambre-matchwallsmurals","301 -> 301 -> 200","301","1","200","https://www.matchwalls.com/fr/collections/peintures-murales-de-chambre-matchwallsmurals","301 -> 200","",""
"fr","gid://shopify/UrlRedirect/417581367523","/fr/collections/painted-papers-baller-matchwallswallpapers","/fr/collections/mural-murals-matchwallsmurals","301","1","404","https://www.matchwalls.com/fr/collections/mural-murals-matchwallsmurals","301 -> 404","404","0","404","https://www.matchwalls.com/fr/collections/mural-murals-matchwallsmurals","404","",""
"fr","gid://shopify/UrlRedirect/417581400291","/fr/collections/painted-adolescents-matchwallswallpapers","/fr/collections/mural-for-teenage-rooms-matchwallsmurals","301","2","200","https://www.matchwalls.com/fr/collections/peinture-murale-pour-les-salles-dadolescents-matchwallsmurals","301 -> 301 -> 200","301","1","200","https://www.matchwalls.com/fr/collections/peinture-murale-pour-les-salles-dadolescents-matchwallsmurals","301 -> 200","",""
"fr","gid://shopify/UrlRedirect/417581433059","/fr/collections/papinons-peints-paysages-matchwallswallpapers","/fr/collections/paysages-muraux-matchwallsmurals","301","1","200","https://www.matchwalls.com/fr/collections/paysages-muraux-matchwallsmurals","301 -> 200","200","0","200","https://www.matchwalls.com/fr/collections/paysages-muraux-matchwallsmurals","200","",""
"fr","gid://shopify/UrlRedirect/417581465827","/fr/collections/papiers-peints-botaniques-matchwallswallpapers","/fr/collections/peintures-murales-botaniques-matchwallsmurals","301","1","200","https://www.matchwalls.com/fr/collections/peintures-murales-botaniques-matchwallsmurals","301 -> 200","200","0","200","https://www.matchwalls.com/fr/collections/peintures-murales-botaniques-matchwallsmurals","200","",""
"fr","gid://shopify/UrlRedirect/417581498595","/fr/collections/papiers-peints-a-floral-matchwallswallspapers","/fr/collections/peintures-murales-florales-matchwallsmurals","301","1","200","https://www.matchwalls.com/fr/collections/peintures-murales-florales-matchwallsmurals","301 -> 200","200","0","200","https://www.matchwalls.com/fr/collections/peintures-murales-florales-matchwallsmurals","200","",""
"fr","gid://shopify/UrlRedirect/417581531363","/fr/collections/documents-peints-graphiques-matchwallswallpapers","/fr/collections/peintures-murales-graphiques-matchwallsmurals","301","1","200","https://www.matchwalls.com/fr/collections/peintures-murales-graphiques-matchwallsmurals","301 -> 200","200","0","200","https://www.matchwalls.com/fr/collections/peintures-murales-graphiques-matchwallsmurals","200","",""
"fr","gid://shopify/UrlRedirect/417581564131","/fr/collections/peintures-geometriques-matchwalswallpapers","/fr/collections/peintures-murales-geometriques-matchwallsmurs","301","1","200","https://www.matchwalls.com/fr/collections/peintures-murales-geometriques-matchwallsmurs","301 -> 200","200","0","200","https://www.matchwalls.com/fr/collections/peintures-murales-geometriques-matchwallsmurs","200","",""
"fr","gid://shopify/UrlRedirect/417581596899","/fr/collections/documents-peints-de-la-nature-matchwallswallpapers","/fr/collections/peintures-murales-de-la-nature-matchwallsmurals","301","1","200","https://www.matchwalls.com/fr/collections/peintures-murales-de-la-nature-matchwallsmurals","301 -> 200","200","0","200","https://www.matchwalls.com/fr/collections/peintures-murales-de-la-nature-matchwallsmurals","200","",""
"fr","gid://shopify/UrlRedirect/417581629667","/fr/collections/papier-peint-matchwallswallpapers","/fr/collections/rayons-muraux-matchwallsmurals","301","1","200","https://www.matchwalls.com/fr/collections/rayons-muraux-matchwallsmurals","301 -> 200","200","0","200","https://www.matchwalls.com/fr/collections/rayons-muraux-matchwallsmurals","200","",""
