"theme_id","theme_name","role","file","checksumMd5","size","updatedAt","match_main","estado_012L3"
"gid://shopify/OnlineStoreTheme/178399019384","MW-TECH-JS-ADD-EVENT-LISTENER-010A-QA-2026-06-18","MAIN","config/settings_data.json","d487694e14fe7558034b7d4595075de4","10257","2026-06-29T23:00:44Z","MAIN","VERIFICADO Y CORRECTO"
"gid://shopify/OnlineStoreTheme/178399019384","MW-TECH-JS-ADD-EVENT-LISTENER-010A-QA-2026-06-18","MAIN","layout/theme.liquid","13cf45059f0dd8095055644fafd3da8d","12325","2026-06-18T18:30:42Z","MAIN","VERIFICADO Y CORRECTO"
"gid://shopify/OnlineStoreTheme/178399019384","MW-TECH-JS-ADD-EVENT-LISTENER-010A-QA-2026-06-18","MAIN","sections/main-page.liquid","8330fa7d1cd5ce4929978d2599b2062c","1075","2026-06-18T18:30:51Z","MAIN","VERIFICADO Y CORRECTO"
"gid://shopify/OnlineStoreTheme/178399019384","MW-TECH-JS-ADD-EVENT-LISTENER-010A-QA-2026-06-18","MAIN","snippets/microdata-schema.liquid","58417e4825aa3d4570a6646f292aaedc","10787","2026-06-18T18:30:45Z","MAIN","VERIFICADO Y CORRECTO"
"gid://shopify/OnlineStoreTheme/178399019384","MW-TECH-JS-ADD-EVENT-LISTENER-010A-QA-2026-06-18","MAIN","templates/page.json","d8085538dc93d34f2457f8df79e37e50","73","2026-06-18T18:30:55Z","MAIN","VERIFICADO Y CORRECTO"
"gid://shopify/OnlineStoreTheme/178396463480","MW-THEME-PAGE-H1-SEMANTIC-008E - ISOLATED QA - ...","UNPUBLISHED","config/settings_data.json","a1192f2f698d277e0f69f7156a61a90c","10256","2026-06-18T10:18:25Z","false","VERIFICADO PERO MEJORABLE"
"gid://shopify/OnlineStoreTheme/178396463480","MW-THEME-PAGE-H1-SEMANTIC-008E - ISOLATED QA - ...","UNPUBLISHED","layout/theme.liquid","13cf45059f0dd8095055644fafd3da8d","12325","2026-06-18T10:18:10Z","true","VERIFICADO Y CORRECTO"
"gid://shopify/OnlineStoreTheme/178396463480","MW-THEME-PAGE-H1-SEMANTIC-008E - ISOLATED QA - ...","UNPUBLISHED","sections/main-page.liquid","8330fa7d1cd5ce4929978d2599b2062c","1075","2026-06-18T10:18:23Z","true","VERIFICADO Y CORRECTO"
"gid://shopify/OnlineStoreTheme/178396463480","MW-THEME-PAGE-H1-SEMANTIC-008E - ISOLATED QA - ...","UNPUBLISHED","snippets/microdata-schema.liquid","58417e4825aa3d4570a6646f292aaedc","10787","2026-06-18T10:18:15Z","true","VERIFICADO Y CORRECTO"
"gid://shopify/OnlineStoreTheme/178396463480","MW-THEME-PAGE-H1-SEMANTIC-008E - ISOLATED QA - ...","UNPUBLISHED","templates/page.json","d8085538dc93d34f2457f8df79e37e50","73","2026-06-18T10:18:29Z","true","VERIFICADO Y CORRECTO"
"gid://shopify/OnlineStoreTheme/178383749496","SEO schema hotfix - 2026-06-15","UNPUBLISHED","snippets/microdata-schema.liquid","58417e4825aa3d4570a6646f292aaedc","10787","2026-06-15T20:19:10Z","true","STANDBY"
"gid://shopify/OnlineStoreTheme/178383585656","SEO-GEO staging - 2026-06-15","UNPUBLISHED","snippets/microdata-schema.liquid","abe75269336e6618f5c1bf78d4da2d3e","6797","2026-06-15T12:32:16Z","false","INCORRECTO"

