lote,page,locale,url,status,canonical,canonical_exact,noindex,title_length,meta_description_length,h1,contains_stale_012j3,hreflang_priority_ok,x_default_present,schema_types,status_final
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,Spain,es,https://www.matchwalls.com/pages/papel-pintado-espana,200,https://www.matchwalls.com/pages/papel-pintado-espana,true,false,62,320,"Papel pintado en España para hogares y proyectos profesionales",false,true,true,"BreadcrumbList|ListItem",VERIFICADO PERO MEJORABLE
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,Spain,en,https://www.matchwalls.com/en/pages/spain-wallpaper,200,https://www.matchwalls.com/en/pages/spain-wallpaper,true,false,54,320,"Wallpaper in Spain for homes and professional projects",false,true,true,"BreadcrumbList|ListItem",VERIFICADO PERO MEJORABLE
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,Spain,fr,https://www.matchwalls.com/fr/pages/papier-peint-en-espagne,200,https://www.matchwalls.com/fr/pages/papier-peint-en-espagne,true,false,70,320,"Papier peint en Espagne pour intérieurs résidentiels et projets professionnels",false,true,true,"BreadcrumbList|ListItem",VERIFICADO PERO MEJORABLE
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,Spain,de,https://www.matchwalls.com/de/pages/spanien-tapete,200,https://www.matchwalls.com/de/pages/spanien-tapete,true,false,57,320,"Tapeten in Spanien für Wohnräume und gewerbliche Projekte",false,true,true,"BreadcrumbList|ListItem",VERIFICADO PERO MEJORABLE
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,Spain,nl,https://www.matchwalls.com/nl/pages/spanje-behang,200,https://www.matchwalls.com/nl/pages/spanje-behang,true,false,57,320,"Behang in Spanje voor woningen en professionele projecten",false,true,true,"BreadcrumbList|ListItem",VERIFICADO PERO MEJORABLE
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,France,es,https://www.matchwalls.com/pages/papel-pintado-francia,200,https://www.matchwalls.com/pages/papel-pintado-francia,true,false,66,320,"Papel pintado en Francia para interiores y proyectos profesionales",false,true,true,"BreadcrumbList|ListItem",VERIFICADO PERO MEJORABLE
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,France,en,https://www.matchwalls.com/en/pages/french-wallpaper,200,https://www.matchwalls.com/en/pages/french-wallpaper,true,false,59,320,"Wallpaper in France for interiors and professional projects",false,true,true,"BreadcrumbList|ListItem",VERIFICADO PERO MEJORABLE
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,France,fr,https://www.matchwalls.com/fr/pages/papier-peint-en-france,200,https://www.matchwalls.com/fr/pages/papier-peint-en-france,true,false,70,320,"Papier peint en France pour intérieurs résidentiels et projets professionnels",false,true,true,"BreadcrumbList|ListItem",VERIFICADO PERO MEJORABLE
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,France,de,https://www.matchwalls.com/de/pages/franzosische-tapete,200,https://www.matchwalls.com/de/pages/franzosische-tapete,true,false,61,320,"Tapeten in Frankreich für Innenräume und gewerbliche Projekte",false,true,true,"BreadcrumbList|ListItem",VERIFICADO PERO MEJORABLE
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,France,nl,https://www.matchwalls.com/nl/pages/frans-behang,200,https://www.matchwalls.com/nl/pages/frans-behang,true,false,62,319,"Behang in Frankrijk voor interieurs en professionele projecten",false,true,true,"BreadcrumbList|ListItem",VERIFICADO PERO MEJORABLE
