lote,queue_rank,priority,locale_signal,page_type,topic_cluster,url,status_browser,final_url_browser,redirect_count_browser,elapsed_ms_browser,title_len,title,meta_description_len,meta_description,robots_meta,x_robots_tag,canonical,canonical_self_or_original,html_lang,h1_count,h1_first,hreflang_count,hreflangs_sample,jsonld_types,served_by,x_request_id,issues,qa_state,write_allowed_now
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,1,ALTA,ES,collection,Colecci?n producto/color/patr?n/espacio,https://www.matchwalls.com/collections/murales-estilo-geometrico,200,https://www.matchwalls.com/collections/murales-estilo-geometrico,0,2833,160,Papel Pintado Geométrico - Murales y diseños modernos American ExpressApple PayBancontactBLIKGoogle PayiDEAL WeroMaestroMastercardMobilePayShop PayUnion PayVisa,158,"Descubre papeles pintados de estilo geométrico en MatchWalls. Diseños modernos y sofisticados con calidades Non Woven, Vinílico y Peel and Stick autoadhesivo.",,,https://www.matchwalls.com/collections/murales-estilo-geometrico,yes,es,1,Papel Pintado Estilos Geométricos,8,x-default=https://www.matchwalls.com/collections/murales-estilo-geometrico | es=https://www.matchwalls.com/collections/murales-estilo-geometrico | pt=https://www.matchwalls.com/pt/collections/murais-geometricos-matchwallsmurs | fr=https://www.matchwalls.com/fr/collections/peintures-murales-geometriques-matchwallsmurs | de=https://www.matchwalls.com/de/collections/geometrische-wandmalereien-matchwallsmurs | it=https://www.matchwalls.com/it/collections/murales-geometrici-matchwallsmurs | en=https://www.matchwalls.com/en/collections/geometric-murals-matchwallsmurs | nl=https://www.matchwalls.com/nl/collections/geometrische-muurschilderingen-matchwallsmurs,BreadcrumbList | ListItem,cloudflare,21d1e36f-6efc-457d-a7f0-8574626ea4a7-1783264813,,VERIFICADO Y CORRECTO,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,2,ALTA,ES,collection,Colecci?n producto/color/patr?n/espacio,https://www.matchwalls.com/collections/murales-mas-vendidos-mural,200,https://www.matchwalls.com/collections/murales-mas-vendidos-mural,0,1791,149,Papeles pintados más vendidos | MatchWalls American ExpressApple PayBancontactBLIKGoogle PayiDEAL WeroMaestroMastercardMobilePayShop PayUnion PayVisa,150,"Descubre los papeles pintados y murales más vendidos de MatchWalls. Compara estilos, colores y diseños para encontrar la opción ideal para tu espacio.",,,https://www.matchwalls.com/collections/murales-mas-vendidos-mural,yes,es,1,Papeles pintados y murales más vendidos,8,x-default=https://www.matchwalls.com/collections/murales-mas-vendidos-mural | es=https://www.matchwalls.com/collections/murales-mas-vendidos-mural | pt=https://www.matchwalls.com/pt/collections/os-melhores-murais-de-vendendo-matchwallsmurais | fr=https://www.matchwalls.com/fr/collections/les-peintures-murales-les-plus-vendues-matchwallsmurals | de=https://www.matchwalls.com/de/collections/die-besten-wandgemalde-matchwallsmurals | it=https://www.matchwalls.com/it/collections/i-murales-di-migliore-migliore-matchwallsmurals | en=https://www.matchwalls.com/en/collections/the-best-selling-murals-matchwallsmurals | nl=https://www.matchwalls.com/nl/collections/de-beste-slelling-muurschilderingen-matchwallsmurals,BreadcrumbList | ListItem,cloudflare,9148c5c4-251b-4547-bf7f-d0490a0563ee-1783264816,,VERIFICADO Y CORRECTO,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,3,ALTA,ES,collection,Colecci?n producto/color/patr?n/espacio,https://www.matchwalls.com/collections/murales-para-el-pasillo,200,https://www.matchwalls.com/collections/murales-para-el-pasillo,0,1801,163,Papel Pintado y Murales para Pasillos - Ideas decoración American ExpressApple PayBancontactBLIKGoogle PayiDEAL WeroMaestroMastercardMobilePayShop PayUnion PayVisa,154,"Decora tus pasillos con papel pintado. Diseños para pasillos estrechos, largos o entradas con calidades Non Woven, Vinílico y Peel and Stick autoadhesivo.",,,https://www.matchwalls.com/collections/murales-para-el-pasillo,yes,es,1,Papel Pintado para Pasillo,8,x-default=https://www.matchwalls.com/collections/murales-para-el-pasillo | es=https://www.matchwalls.com/collections/murales-para-el-pasillo | pt=https://www.matchwalls.com/pt/collections/murais-murais-matchwallsmurais | fr=https://www.matchwalls.com/fr/collections/murale-pour-le-couloir-matchwallsmurals | de=https://www.matchwalls.com/de/collections/wandbild-fur-den-flur-matchwallsmurals | it=https://www.matchwalls.com/it/collections/murali-murali-matchwallsmurals | en=https://www.matchwalls.com/en/collections/hallway-wallpaper-matchwalls | nl=https://www.matchwalls.com/nl/collections/muurschildering-voor-de-matchwallsmurals-gang,BreadcrumbList | ListItem,cloudflare,f2eeb993-64d4-4aba-a840-d98b1dfb13a4-1783264818,,VERIFICADO Y CORRECTO,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,4,ALTA,ES,collection,Colecci?n producto/color/patr?n/espacio,https://www.matchwalls.com/collections/papeles-pintados-color-blanco-y-negro,200,https://www.matchwalls.com/collections/papeles-pintados-color-blanco-y-negro,0,2494,148,Papel Pintado Blanco y Negro - MatchWalls American ExpressApple PayBancontactBLIKGoogle PayiDEAL WeroMaestroMastercardMobilePayShop PayUnion PayVisa,153,"Explora papeles pintados en blanco y negro de MatchWalls. Diseños modernos y atemporales con calidades Non Woven, Vinílico y Peel and Stick autoadhesivo.",,,https://www.matchwalls.com/collections/papeles-pintados-color-blanco-y-negro,yes,es,1,Papel Pintado Blanco y Negro,8,x-default=https://www.matchwalls.com/collections/papeles-pintados-color-blanco-y-negro | es=https://www.matchwalls.com/collections/papeles-pintados-color-blanco-y-negro | pt=https://www.matchwalls.com/pt/collections/papeis-pintados-em-preto-e-branco-matchwallswalpapers | fr=https://www.matchwalls.com/fr/collections/papiers-peints-en-noir-et-blanc-matchwallswalpapers | de=https://www.matchwalls.com/de/collections/schwarz-weiss-malpapiere-matchwallswalpapers | it=https://www.matchwalls.com/it/collections/carte-dipinte-in-bianco-e-nero-matchwallswalpapers | en=https://www.matchwalls.com/en/collections/black-and-white-painted-papers-matchwallswalpapers | nl=https://www.matchwalls.com/nl/collections/zwart-wit-geschilderde-papieren-matchwallswalpapers,BreadcrumbList | ListItem,cloudflare,58869d5b-c2f8-4fe9-b827-746581ecd1c6-1783264820,,VERIFICADO Y CORRECTO,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,5,MEDIA,ES,collection,Colecci?n producto/color/patr?n/espacio,https://www.matchwalls.com/collections/papeles-pintados-color-negro,200,https://www.matchwalls.com/collections/papeles-pintados-color-negro,0,2429,139,Papel Pintado Negro - MatchWalls American ExpressApple PayBancontactBLIKGoogle PayiDEAL WeroMaestroMastercardMobilePayShop PayUnion PayVisa,152,"Descubre papeles pintados en tonos negros de MatchWalls. Diseños sofisticados y audaces con calidades Non Woven, Vinílico y Peel and Stick autoadhesivo.",,,https://www.matchwalls.com/collections/papeles-pintados-color-negro,yes,es,1,Papel Pintado Negro,8,x-default=https://www.matchwalls.com/collections/papeles-pintados-color-negro | es=https://www.matchwalls.com/collections/papeles-pintados-color-negro | pt=https://www.matchwalls.com/pt/collections/papeis-pintados-pretos-matchwallswallpapers | fr=https://www.matchwalls.com/fr/collections/papiers-peints-noirs-matchwallswallpapers | de=https://www.matchwalls.com/de/collections/black-malt-papers-matchwallswallpapers | it=https://www.matchwalls.com/it/collections/documenti-dipinti-neri-matchwallswallpapers | en=https://www.matchwalls.com/en/collections/black-painted-papers-matchwallswallpapers | nl=https://www.matchwalls.com/nl/collections/black-painted-papers-matchwallswallpapers-2,BreadcrumbList | ListItem,cloudflare,e5be62b7-8765-43a2-af76-51ec5ba7c6eb-1783264823,,VERIFICADO Y CORRECTO,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,6,MEDIA,ES,product,Producto,https://www.matchwalls.com/products/gingham-charm-rosa,200,https://www.matchwalls.com/products/gingham-charm-rosa,0,3261,32,Papel Pintado Gingham Charm Rosa,138,"Descubre nuestro papel pintado Gingham Charm en tono rosa. Una amplia variedad de diseños en calidades non woven, autoadhesivo y vinílico.",,,https://www.matchwalls.com/products/gingham-charm-rosa,yes,es,1,Gingham Charm Rosa,8,x-default=https://www.matchwalls.com/products/gingham-charm-rosa | es=https://www.matchwalls.com/products/gingham-charm-rosa | pt=https://www.matchwalls.com/pt/products/gingham-charm-rosa | fr=https://www.matchwalls.com/fr/products/charme-de-vichy-rosa | de=https://www.matchwalls.com/de/products/gingham-charm-rosa | it=https://www.matchwalls.com/it/products/gingham-charm-rosa | en=https://www.matchwalls.com/en/products/gingham-charm-rosa | nl=https://www.matchwalls.com/nl/products/gingham-charm-rosa,Product | ImageObject | QuantitativeValue | Brand | Offer | BreadcrumbList | ListItem,cloudflare,f86a59c8-5ad9-4615-96b2-f20c5228e46c-1783264826,,VERIFICADO Y CORRECTO,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,7,MEDIA,ES,page,Medici?n/instalaci?n,https://www.matchwalls.com/pages/medidas-paredes,429,https://www.matchwalls.com/pages/medidas-paredes,0,138,0,,0,,,,,no,,0,,0,,,cloudflare,,HTTP 429;missing_title;missing_meta_description;missing_h1;missing_canonical;missing_hreflang,INCORRECTO,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,8,MEDIA,ES,product,Producto,https://www.matchwalls.com/products/gingham-charm-verde,429,https://www.matchwalls.com/products/gingham-charm-verde,0,151,0,,0,,,,,no,,0,,0,,,cloudflare,,HTTP 429;missing_title;missing_meta_description;missing_h1;missing_canonical;missing_hreflang,INCORRECTO,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,9,MEDIA,ES,collection,Colecci?n producto/color/patr?n/espacio,https://www.matchwalls.com/collections/papeles-pintados-color-verde,429,https://www.matchwalls.com/collections/papeles-pintados-color-verde,0,143,0,,0,,,,,no,,0,,0,,,cloudflare,,HTTP 429;missing_title;missing_meta_description;missing_h1;missing_canonical;missing_hreflang,INCORRECTO,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,10,MEDIA,EN,collection,Geo/local,https://www.matchwalls.com/en/collections/salamanca-wallpaper,429,https://www.matchwalls.com/en/collections/salamanca-wallpaper,0,193,0,,0,,,,,no,,0,,0,,,cloudflare,,HTTP 429;missing_title;missing_meta_description;missing_h1;missing_canonical;missing_hreflang,INCORRECTO,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,11,MEDIA,EN,collection,Geo/local,https://www.matchwalls.com/en/collections/tarragona-wallpaper,429,https://www.matchwalls.com/en/collections/tarragona-wallpaper,0,196,0,,0,,,,,no,,0,,0,,,cloudflare,,HTTP 429;missing_title;missing_meta_description;missing_h1;missing_canonical;missing_hreflang,INCORRECTO,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,12,BAJA,ES,collection,Colecci?n producto/color/patr?n/espacio,https://www.matchwalls.com/collections/murales-para-habitaciones-de-adolescentes,429,https://www.matchwalls.com/collections/murales-para-habitaciones-de-adolescentes,0,158,0,,0,,,,,no,,0,,0,,,cloudflare,,HTTP 429;missing_title;missing_meta_description;missing_h1;missing_canonical;missing_hreflang,INCORRECTO,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,13,BAJA,ES,collection,Geo/local,https://www.matchwalls.com/collections/comprar-papel-pintado-paris,429,https://www.matchwalls.com/collections/comprar-papel-pintado-paris,0,158,0,,0,,,,,no,,0,,0,,,cloudflare,,HTTP 429;missing_title;missing_meta_description;missing_h1;missing_canonical;missing_hreflang,INCORRECTO,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,14,BAJA,ES,product,Producto,https://www.matchwalls.com/products/marejada-azul,429,https://www.matchwalls.com/products/marejada-azul,0,172,0,,0,,,,,no,,0,,0,,,cloudflare,,HTTP 429;missing_title;missing_meta_description;missing_h1;missing_canonical;missing_hreflang,INCORRECTO,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,15,BAJA,ES,collection,Colecci?n producto/color/patr?n/espacio,https://www.matchwalls.com/collections/papeles-pintados-color-lila,429,https://www.matchwalls.com/collections/papeles-pintados-color-lila,0,166,0,,0,,,,,no,,0,,0,,,cloudflare,,HTTP 429;missing_title;missing_meta_description;missing_h1;missing_canonical;missing_hreflang,INCORRECTO,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,16,BAJA,ES,collection,Colecci?n producto/color/patr?n/espacio,https://www.matchwalls.com/collections/murales-estilo-paisajes,429,https://www.matchwalls.com/collections/murales-estilo-paisajes,0,163,0,,0,,,,,no,,0,,0,,,cloudflare,,HTTP 429;missing_title;missing_meta_description;missing_h1;missing_canonical;missing_hreflang,INCORRECTO,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,17,BAJA,FR,page,Mural personalizado / informacional,https://www.matchwalls.com/fr/pages/creez-votre-propre-murale,429,https://www.matchwalls.com/fr/pages/creez-votre-propre-murale,0,171,0,,0,,,,,no,,0,,0,,,cloudflare,,HTTP 429;missing_title;missing_meta_description;missing_h1;missing_canonical;missing_hreflang,INCORRECTO,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,18,BAJA,ES,blog,Medici?n/instalaci?n,https://www.matchwalls.com/blogs/inspiracion/aprende-a-empapelar-paredes-y-techos-con-calidades-non-woven-vinilicas-y-peel-and-stick,429,https://www.matchwalls.com/blogs/inspiracion/aprende-a-empapelar-paredes-y-techos-con-calidades-non-woven-vinilicas-y-peel-and-stick,0,159,0,,0,,,,,no,,0,,0,,,cloudflare,,HTTP 429;missing_title;missing_meta_description;missing_h1;missing_canonical;missing_hreflang,INCORRECTO,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,19,BAJA,ES,product,Producto,https://www.matchwalls.com/products/polka-dot-delight-rosa,429,https://www.matchwalls.com/products/polka-dot-delight-rosa,0,153,0,,0,,,,,no,,0,,0,,,cloudflare,,HTTP 429;missing_title;missing_meta_description;missing_h1;missing_canonical;missing_hreflang,INCORRECTO,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,20,BAJA,ES,collection,Geo/local,https://www.matchwalls.com/collections/comprar-papel-pintado-huelva,429,https://www.matchwalls.com/collections/comprar-papel-pintado-huelva,0,175,0,,0,,,,,no,,0,,0,,,cloudflare,,HTTP 429;missing_title;missing_meta_description;missing_h1;missing_canonical;missing_hreflang,INCORRECTO,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,21,BAJA,ES,collection,Colecci?n producto/color/patr?n/espacio,https://www.matchwalls.com/collections/murales-para-el-dormitorio,429,https://www.matchwalls.com/collections/murales-para-el-dormitorio,0,165,0,,0,,,,,no,,0,,0,,,cloudflare,,HTTP 429;missing_title;missing_meta_description;missing_h1;missing_canonical;missing_hreflang,INCORRECTO,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,22,BAJA,ES,product,Producto,https://www.matchwalls.com/products/ondas-suaves-azul,429,https://www.matchwalls.com/products/ondas-suaves-azul,0,127,0,,0,,,,,no,,0,,0,,,cloudflare,,HTTP 429;missing_title;missing_meta_description;missing_h1;missing_canonical;missing_hreflang,INCORRECTO,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,23,BAJA,ES,product,Producto,https://www.matchwalls.com/products/tartan-contemporaneo-beige,429,https://www.matchwalls.com/products/tartan-contemporaneo-beige,0,153,0,,0,,,,,no,,0,,0,,,cloudflare,,HTTP 429;missing_title;missing_meta_description;missing_h1;missing_canonical;missing_hreflang,INCORRECTO,no
