check,resource,count_or_value,precision,status
total_redirects,urlRedirectsCount,620,EXACT,CORREGIDO Y VERIFICADO
deleted_id,gid://shopify/UrlRedirect/417542766819,null,,CORREGIDO Y VERIFICADO
deleted_id,gid://shopify/UrlRedirect/417542799587,null,,CORREGIDO Y VERIFICADO
deleted_id,gid://shopify/UrlRedirect/417542832355,null,,CORREGIDO Y VERIFICADO
deleted_id,gid://shopify/UrlRedirect/417542865123,null,,CORREGIDO Y VERIFICADO
deleted_id,gid://shopify/UrlRedirect/417542897891,null,,CORREGIDO Y VERIFICADO
deleted_id,gid://shopify/UrlRedirect/417542930659,null,,CORREGIDO Y VERIFICADO
deleted_id,gid://shopify/UrlRedirect/417542963427,null,,CORREGIDO Y VERIFICADO
deleted_id,gid://shopify/UrlRedirect/417542996195,null,,CORREGIDO Y VERIFICADO
deleted_id,gid://shopify/UrlRedirect/417543028963,null,,CORREGIDO Y VERIFICADO
deleted_id,gid://shopify/UrlRedirect/417543061731,null,,CORREGIDO Y VERIFICADO
deleted_id,gid://shopify/UrlRedirect/417543094499,null,,CORREGIDO Y VERIFICADO
deleted_id,gid://shopify/UrlRedirect/417543127267,null,,CORREGIDO Y VERIFICADO
deleted_id,gid://shopify/UrlRedirect/417543160035,null,,CORREGIDO Y VERIFICADO
deleted_id,gid://shopify/UrlRedirect/417543192803,null,,CORREGIDO Y VERIFICADO
path_count,/collections/papeles-pintados-color-blanco-y-negro,0,EXACT,CORREGIDO Y VERIFICADO
path_count,/collections/papeles-pintados-color-azul,0,EXACT,CORREGIDO Y VERIFICADO
path_count,/collections/papeles-pintados-color-amarillo,0,EXACT,CORREGIDO Y VERIFICADO
path_count,/collections/papeles-pintados-color-blanco,0,EXACT,CORREGIDO Y VERIFICADO
path_count,/collections/papeles-pintados-color-beige,0,EXACT,CORREGIDO Y VERIFICADO
path_count,/collections/papeles-pintados-color-negro,0,EXACT,CORREGIDO Y VERIFICADO
path_count,/collections/papeles-pintados-color-gris,0,EXACT,CORREGIDO Y VERIFICADO
path_count,/collections/papeles-pintados-color-marron,0,EXACT,CORREGIDO Y VERIFICADO
path_count,/collections/papeles-pintados-color-rosa,0,EXACT,CORREGIDO Y VERIFICADO
path_count,/collections/papeles-pintados-color-lila,0,EXACT,CORREGIDO Y VERIFICADO
path_count,/collections/papeles-pintados-color-verde,0,EXACT,CORREGIDO Y VERIFICADO
path_count,/collections/papeles-pintados-color-dorado,0,EXACT,CORREGIDO Y VERIFICADO
path_count,/collections/papeles-pintados-color-plateado,0,EXACT,CORREGIDO Y VERIFICADO
path_count,/collections/papeles-pintados-color-multicolor,0,EXACT,CORREGIDO Y VERIFICADO
