lot,scope,language,url,http_status,has_root_block,h1_count,h1_text,faq_items,quick_links,has_missing_translation,status,notes
MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-CONTENT-PROTOTYPE-013E13A,preview,ES,https://www.matchwalls.com/collections?preview_theme_id=178396463480,200,true,1,"Colecciones de papel pintado y murales",3,6,false,CORREGIDO Y VERIFICADO,"Preview renders prototype in draft theme"
MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-CONTENT-PROTOTYPE-013E13A,preview,EN,https://www.matchwalls.com/en/collections?preview_theme_id=178396463480,200,true,1,"Wallpaper and mural collections",3,6,false,CORREGIDO Y VERIFICADO,"Preview renders prototype in draft theme"
MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-CONTENT-PROTOTYPE-013E13A,preview,FR,https://www.matchwalls.com/fr/collections?preview_theme_id=178396463480,200,true,1,"Collections de papiers peints et panoramiques",3,6,false,CORREGIDO Y VERIFICADO,"Preview renders prototype in draft theme"
MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-CONTENT-PROTOTYPE-013E13A,preview,DE,https://www.matchwalls.com/de/collections?preview_theme_id=178396463480,200,true,1,"Kollektionen für Tapeten und Wandbilder",3,6,false,VERIFICADO PERO MEJORABLE,"Preview renders; DE copy pending human linguistic QA before MAIN"
MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-CONTENT-PROTOTYPE-013E13A,preview,NL,https://www.matchwalls.com/nl/collections?preview_theme_id=178396463480,200,true,1,"Collecties behang en wandprints",3,6,false,VERIFICADO PERO MEJORABLE,"Preview renders; NL copy pending human linguistic QA before MAIN"
MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-CONTENT-PROTOTYPE-013E13A,live_guard,ES,https://www.matchwalls.com/collections,200,false,1,N/A,N/A,N/A,N/A,VERIFICADO Y CORRECTO,"Live MAIN has not received the draft prototype"
MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-CONTENT-PROTOTYPE-013E13A,live_guard,EN,https://www.matchwalls.com/en/collections,200,false,1,N/A,N/A,N/A,N/A,VERIFICADO Y CORRECTO,"Live MAIN has not received the draft prototype"
MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-CONTENT-PROTOTYPE-013E13A,live_guard,FR,https://www.matchwalls.com/fr/collections,200,false,1,N/A,N/A,N/A,N/A,VERIFICADO Y CORRECTO,"Live MAIN has not received the draft prototype"
MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-CONTENT-PROTOTYPE-013E13A,live_guard,DE,https://www.matchwalls.com/de/collections,200,false,1,N/A,N/A,N/A,N/A,VERIFICADO Y CORRECTO,"Live MAIN has not received the draft prototype"
MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-CONTENT-PROTOTYPE-013E13A,live_guard,NL,https://www.matchwalls.com/nl/collections,200,false,1,N/A,N/A,N/A,N/A,VERIFICADO Y CORRECTO,"Live MAIN has not received the draft prototype"
