"url","idioma_url","tipo","estado_http","title_longitud","description_longitud","h1_count","h1","canonical","hreflang_count","posible_mezcla_idioma"
"https://www.matchwalls.com/blogs/inspiracion","es","article","200","132","84","1","Inspiración","https://www.matchwalls.com/blogs/inspiracion","8","no"
"https://www.matchwalls.com/collections/murales-mas-vendidos-mural","es","collection","200","137","155","1","Los Papeles Pintados Más Vendidos","https://www.matchwalls.com/collections/murales-mas-vendidos-mural","8","no"
"https://www.matchwalls.com/en/pages/contact","en","page","200","131","108","2","Contact MatchWalls — We’re here to help | Contact MatchWalls — We’re here to help","https://www.matchwalls.com/en/pages/contact","8","no"
"https://www.matchwalls.com/nl/pages/contact","nl","page","429","0","0","0","","","0","no"
"https://www.matchwalls.com/pages/contact","es","page","429","0","0","0","","","0","no"
"https://www.matchwalls.com/pages/guia-de-instalacion","es","page","429","0","0","0","","","0","no"
"https://www.matchwalls.com/pages/muestras","es","page","429","0","0","0","","","0","no"
"https://www.matchwalls.com/pages/preguntas-frecuentes","es","page","429","0","0","0","","","0","no"
"https://www.matchwalls.com/pages/profesionales","es","page","429","0","0","0","","","0","no"
"https://www.matchwalls.com/pages/sobre-nosotros","es","page","429","0","0","0","","","0","no"
"https://www.matchwalls.com/pages/social-prensa-y-afiliacion","es","page","429","0","0","0","","","0","no"
