product_gid,legacy_resource_id,title,handle,status,product_type,template_suffix,published_at,online_store_url,seo_hidden_value,seo_hidden_type,seo_hidden_updated_at,postcheck_status
gid://shopify/Product/14835721306488,14835721306488,"Muestra de Cuadrícula Clásica  Gris",muestra-de-cuadricula-clasica-gris,ACTIVE,Muestra,muestra,2025-02-16T11:21:49Z,https://www.matchwalls.com/products/muestra-de-cuadricula-clasica-gris,1,number_integer,2026-06-26T22:33:14Z,VERIFICADO Y CORRECTO
gid://shopify/Product/14835721175416,14835721175416,"Muestra de Cuadrícula Clásica  Verde",muestra-de-cuadricula-clasica-verde,ACTIVE,Muestra,muestra,2025-02-16T11:21:50Z,https://www.matchwalls.com/products/muestra-de-cuadricula-clasica-verde,1,number_integer,2026-06-26T22:33:14Z,VERIFICADO Y CORRECTO
gid://shopify/Product/14835721372024,14835721372024,"Muestra de Cuadrícula Clásica Blanco y negro",muestra-de-cuadricula-clasica-blanco-y-negro,ACTIVE,Muestra,muestra,2025-02-16T11:21:48Z,https://www.matchwalls.com/products/muestra-de-cuadricula-clasica-blanco-y-negro,1,number_integer,2026-06-26T22:33:14Z,VERIFICADO Y CORRECTO
gid://shopify/Product/14835719176568,14835719176568,"Muestra de Damas Clásicas Gris",muestra-de-damas-clasicas-gris,ACTIVE,Muestra,muestra,2025-02-16T11:22:06Z,https://www.matchwalls.com/products/muestra-de-damas-clasicas-gris,1,number_integer,2026-06-26T22:33:14Z,VERIFICADO Y CORRECTO
gid://shopify/Product/14835719307640,14835719307640,"Muestra de Damas Clásicas Verde",muestra-de-damas-clasicas-verde,ACTIVE,Muestra,muestra,2025-02-16T11:22:05Z,https://www.matchwalls.com/products/muestra-de-damas-clasicas-verde,1,number_integer,2026-06-26T22:33:14Z,VERIFICADO Y CORRECTO
gid://shopify/Product/14858207789432,14858207789432,"Muestra de Forest Study Retreat",muestra-de-forest-study-retreat,ACTIVE,Muestra,muestra,2025-02-16T11:21:38Z,https://www.matchwalls.com/products/muestra-de-forest-study-retreat,1,number_integer,2026-06-26T22:33:14Z,VERIFICADO Y CORRECTO
gid://shopify/Product/14835717210488,14835717210488,"Muestra de Golden Woodland Amarillo",muestra-de-golden-woodland-amarillo,ACTIVE,Muestra,muestra,2025-02-16T11:22:24Z,https://www.matchwalls.com/products/muestra-de-golden-woodland-amarillo,1,number_integer,2026-06-26T22:33:14Z,VERIFICADO Y CORRECTO
gid://shopify/Product/14835717341560,14835717341560,"Muestra de Golden Woodland Lila",muestra-de-golden-woodland-lila,ACTIVE,Muestra,muestra,2025-02-16T11:22:21Z,https://www.matchwalls.com/products/muestra-de-golden-woodland-lila,1,number_integer,2026-06-26T22:33:14Z,VERIFICADO Y CORRECTO
gid://shopify/Product/14835717079416,14835717079416,"Muestra de Golden Woodland Marrón",muestra-de-golden-woodland-marron,ACTIVE,Muestra,muestra,2025-02-16T11:22:24Z,https://www.matchwalls.com/products/muestra-de-golden-woodland-marron,1,number_integer,2026-06-26T22:33:14Z,VERIFICADO Y CORRECTO
gid://shopify/Product/14858732339576,14858732339576,"Muestra de Highland Plaid Marròn",muestra-de-highland-plaid-marron,ACTIVE,Muestra,muestra,2025-02-16T11:21:36Z,https://www.matchwalls.com/products/muestra-de-highland-plaid-marron,1,number_integer,2026-06-26T22:33:14Z,VERIFICADO Y CORRECTO
