product_gid,legacy_resource_id,representative_title,url,http_status,final_url,robots_content,canonical,h1_present,ok_status,ok_robots_noindex_nofollow,ok_canonical_self,ok_h1,error,estado
gid://shopify/Product/14835714949496,14835714949496,Muestra de Wildflower Whisper Azul,https://www.matchwalls.com/de/products/wildblumenflusterblau-probe,200,https://www.matchwalls.com/de/products/wildblumenflusterblau-probe,"noindex,nofollow",https://www.matchwalls.com/de/products/wildblumenflusterblau-probe,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835714949496,14835714949496,Muestra de Wildflower Whisper Azul,https://www.matchwalls.com/en/products/wildflower-whisper-blue-sample,200,https://www.matchwalls.com/en/products/wildflower-whisper-blue-sample,"noindex,nofollow",https://www.matchwalls.com/en/products/wildflower-whisper-blue-sample,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835714949496,14835714949496,Muestra de Wildflower Whisper Azul,https://www.matchwalls.com/fr/products/echantillon-bleu-wildflower-whisper,200,https://www.matchwalls.com/fr/products/echantillon-bleu-wildflower-whisper,"noindex,nofollow",https://www.matchwalls.com/fr/products/echantillon-bleu-wildflower-whisper,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835714949496,14835714949496,Muestra de Wildflower Whisper Azul,https://www.matchwalls.com/it/products/campione-blu-whisper-wildflower,200,https://www.matchwalls.com/it/products/campione-blu-whisper-wildflower,"noindex,nofollow",https://www.matchwalls.com/it/products/campione-blu-whisper-wildflower,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835714949496,14835714949496,Muestra de Wildflower Whisper Azul,https://www.matchwalls.com/nl/products/wildflower-whisper-blue-sample-1,200,https://www.matchwalls.com/nl/products/wildflower-whisper-blue-sample-1,"noindex,nofollow",https://www.matchwalls.com/nl/products/wildflower-whisper-blue-sample-1,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835714949496,14835714949496,Muestra de Wildflower Whisper Azul,https://www.matchwalls.com/products/muestra-de-wildflower-whisper-azul,200,https://www.matchwalls.com/products/muestra-de-wildflower-whisper-azul,"noindex,nofollow",https://www.matchwalls.com/products/muestra-de-wildflower-whisper-azul,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835714949496,14835714949496,Muestra de Wildflower Whisper Azul,https://www.matchwalls.com/pt/products/amostra-azul-sussurro-de-flores-silvestres,200,https://www.matchwalls.com/pt/products/amostra-azul-sussurro-de-flores-silvestres,"noindex,nofollow",https://www.matchwalls.com/pt/products/amostra-azul-sussurro-de-flores-silvestres,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835715178872,14835715178872,Muestra de Wildflower Whisper Lila,https://www.matchwalls.com/en/products/muestra-de-wildflower-whisper-lila,200,https://www.matchwalls.com/en/products/muestra-de-wildflower-whisper-lila,"noindex,nofollow",https://www.matchwalls.com/en/products/muestra-de-wildflower-whisper-lila,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835715178872,14835715178872,Muestra de Wildflower Whisper Lila,https://www.matchwalls.com/fr/products/muestra-de-wildflower-whisper-lila,200,https://www.matchwalls.com/fr/products/muestra-de-wildflower-whisper-lila,"noindex,nofollow",https://www.matchwalls.com/fr/products/muestra-de-wildflower-whisper-lila,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835715178872,14835715178872,Muestra de Wildflower Whisper Lila,https://www.matchwalls.com/products/muestra-de-wildflower-whisper-lila,200,https://www.matchwalls.com/products/muestra-de-wildflower-whisper-lila,"noindex,nofollow",https://www.matchwalls.com/products/muestra-de-wildflower-whisper-lila,yes,yes,yes,yes,yes,,CORREGIDO Y VERIFICADO
