path,label,status,final_url,estado
/fr/collections/tous-les-peintures-murales-matchwallsmurals,FR collections,200,https://www.matchwalls.com/fr/collections/tous-les-peintures-murales-matchwallsmurals?mwqa=012h,VERIFICADO Y CORRECTO
/fr/pages/demandez-votre-echantillon,FR samples,200,https://www.matchwalls.com/fr/pages/demandez-votre-echantillon?mwqa=012h,VERIFICADO Y CORRECTO
/fr/pages/creez-votre-propre-murale,FR custom mural,200,https://www.matchwalls.com/fr/pages/creez-votre-propre-murale?mwqa=012h,VERIFICADO Y CORRECTO
/fr/pages/professionnels,FR professionals,200,https://www.matchwalls.com/fr/pages/professionnels?mwqa=012h,VERIFICADO Y CORRECTO
/en/collections/all-matchwallsmurals-murals,EN collections,200,https://www.matchwalls.com/en/collections/all-matchwallsmurals-murals?mwqa=012h,VERIFICADO Y CORRECTO
/en/pages/request-your-sample,EN samples,200,https://www.matchwalls.com/en/pages/request-your-sample?mwqa=012h,VERIFICADO Y CORRECTO
/en/pages/create-your-own-mural,EN custom mural,200,https://www.matchwalls.com/en/pages/create-your-own-mural?mwqa=012h,VERIFICADO Y CORRECTO
/en/pages/professionals,EN professionals,200,https://www.matchwalls.com/en/pages/professionals?mwqa=012h,VERIFICADO Y CORRECTO
/de/collections/alle-matchwallsmurals-wandbilder,DE collections,200,https://www.matchwalls.com/de/collections/alle-matchwallsmurals-wandbilder?mwqa=012h,VERIFICADO Y CORRECTO
/de/pages/fordern-sie-ihr-beispiel-an,DE samples,200,https://www.matchwalls.com/de/pages/fordern-sie-ihr-beispiel-an?mwqa=012h,VERIFICADO Y CORRECTO
/de/pages/erstellen-sie-ihr-eigenes-wandbild,DE custom mural,200,https://www.matchwalls.com/de/pages/erstellen-sie-ihr-eigenes-wandbild?mwqa=012h,VERIFICADO Y CORRECTO
/de/pages/profis,DE professionals,200,https://www.matchwalls.com/de/pages/profis?mwqa=012h,VERIFICADO Y CORRECTO
/nl/collections/alle-matchwallsmurals-muurschilderingen,NL collections,200,https://www.matchwalls.com/nl/collections/alle-matchwallsmurals-muurschilderingen?mwqa=012h,VERIFICADO Y CORRECTO
/nl/pages/vraag-uw-monster-aan,NL samples,200,https://www.matchwalls.com/nl/pages/vraag-uw-monster-aan?mwqa=012h,VERIFICADO Y CORRECTO
/nl/pages/maak-je-eigen-muurschildering,NL custom mural,200,https://www.matchwalls.com/nl/pages/maak-je-eigen-muurschildering?mwqa=012h,VERIFICADO Y CORRECTO
/nl/pages/professionals-1,NL professionals,200,https://www.matchwalls.com/nl/pages/professionals-1?mwqa=012h,VERIFICADO Y CORRECTO
